,Cluster,Motif,Influe
139,Neuron,Motif_17,0.97435594
140,Proliferating,Motif_17,-0.37694702
141,Secretory,Motif_17,-0.08756496
142,Stromal,Motif_17,0.56243527
143,Endothelial,Motif_19,-0.6250942
144,Epithelial,Motif_19,-0.058600985
145,Erythroid,Motif_19,0.57865566
146,Germ,Motif_19,-0.5671044
147,Hepatocyte,Motif_19,0.41371396
148,Immune,Motif_19,0.05443141
149,Muscle,Motif_19,-0.0951877
150,Neuron,Motif_19,-0.6341968
151,Proliferating,Motif_19,0.8195866
152,Secretory,Motif_19,0.094795726
153,Stromal,Motif_19,-0.6010792
154,Endothelial,Motif_21,0.45028222
155,Epithelial,Motif_21,0.0034850833
156,Erythroid,Motif_21,-0.6590009
157,Germ,Motif_21,-0.62449163
158,Hepatocyte,Motif_21,0.9264384
159,Immune,Motif_21,0.8951926
160,Muscle,Motif_21,0.11658162
161,Neuron,Motif_21,-0.82077885
162,Proliferating,Motif_21,-0.21097054
163,Secretory,Motif_21,0.51775557
164,Stromal,Motif_21,-0.3453532
165,Endothelial,Motif_23,-0.006091701
166,Epithelial,Motif_23,-0.006091701
167,Erythroid,Motif_23,-0.006091701
168,Germ,Motif_23,-0.006091701
169,Hepatocyte,Motif_23,-0.006091701
170,Immune,Motif_23,-0.0057560937
171,Muscle,Motif_23,-0.006091701
172,Neuron,Motif_23,-0.006091701
173,Proliferating,Motif_23,-0.006091701
174,Secretory,Motif_23,-0.006091701
175,Stromal,Motif_23,-0.006091701
176,Endothelial,Motif_25,-0.31667688
177,Epithelial,Motif_25,-0.04724147
178,Erythroid,Motif_25,0.08202645
179,Germ,Motif_25,-0.04017294
180,Hepatocyte,Motif_25,1.0873091
181,Immune,Motif_25,0.6991807
182,Muscle,Motif_25,-0.24182661
183,Neuron,Motif_25,-0.92892814
184,Proliferating,Motif_25,0.34117097
185,Secretory,Motif_25,0.36007562
186,Stromal,Motif_25,-0.5772863
187,Endothelial,Motif_28,-0.7976536
188,Epithelial,Motif_28,0.011514162
189,Erythroid,Motif_28,0.48608416
190,Germ,Motif_28,-0.37696075
191,Hepatocyte,Motif_28,0.6985352
192,Immune,Motif_28,0.30331373
193,Muscle,Motif_28,-0.2587091
194,Neuron,Motif_28,-1.0074948
195,Proliferating,Motif_28,0.9410909
196,Secretory,Motif_28,0.17300177
197,Stromal,Motif_28,-0.59757537
198,Endothelial,Motif_29,0.9710503
199,Epithelial,Motif_29,0.19311956
200,Erythroid,Motif_29,-0.86771417
201,Germ,Motif_29,-0.15714897
202,Hepatocyte,Motif_29,-0.2802637
203,Immune,Motif_29,-0.15720746
204,Muscle,Motif_29,0.47226983
205,Neuron,Motif_29,0.64742076
206,Proliferating,Motif_29,-0.5965793
207,Secretory,Motif_29,0.13384938
208,Stromal,Motif_29,0.56363523
209,Endothelial,Motif_30,1.0309627
210,Epithelial,Motif_30,0.14226063
211,Erythroid,Motif_30,-0.8813779
212,Germ,Motif_30,-0.26303282
213,Hepatocyte,Motif_30,-0.42194638
214,Immune,Motif_30,-0.21122472
215,Muscle,Motif_30,0.5190451
216,Neuron,Motif_30,0.80092317
217,Proliferating,Motif_30,-0.73951924
218,Secretory,Motif_30,0.09718479
219,Stromal,Motif_30,0.6448877
220,Endothelial,Motif_35,0.650663
221,Epithelial,Motif_35,-0.19457218
222,Erythroid,Motif_35,-0.3843893
223,Germ,Motif_35,0.12312654
224,Hepatocyte,Motif_35,-0.5047125
225,Immune,Motif_35,0.35318846
226,Muscle,Motif_35,-0.20156538
227,Neuron,Motif_35,0.32905865
228,Proliferating,Motif_35,-0.9595441
229,Secretory,Motif_35,-0.13253415
230,Stromal,Motif_35,0.20765449
231,Endothelial,Motif_36,0.8818468
232,Epithelial,Motif_36,0.005358383
233,Erythroid,Motif_36,-0.35723346
234,Germ,Motif_36,-0.3195428
235,Hepatocyte,Motif_36,-0.39708155
236,Immune,Motif_36,-0.33419722
237,Muscle,Motif_36,0.35958198
238,Neuron,Motif_36,0.6340903
239,Proliferating,Motif_36,-0.53053266
240,Secretory,Motif_36,0.04574904
241,Stromal,Motif_36,0.28356808
242,Endothelial,Motif_38,-0.2088189
243,Epithelial,Motif_38,0.011250055
244,Erythroid,Motif_38,-0.114604555
245,Germ,Motif_38,0.031934734
246,Hepatocyte,Motif_38,1.085788
247,Immune,Motif_38,0.6948382
248,Muscle,Motif_38,-0.19610257
249,Neuron,Motif_38,-0.984457
250,Proliferating,Motif_38,0.3637311
251,Secretory,Motif_38,0.4029804
252,Stromal,Motif_38,-0.50336367
253,Endothelial,Motif_48,0.04694803
254,Epithelial,Motif_48,-0.14811037
255,Erythroid,Motif_48,-0.18389545
256,Germ,Motif_48,-0.12591717
257,Hepatocyte,Motif_48,-0.25443012
258,Immune,Motif_48,-0.30617946
259,Muscle,Motif_48,0.09760356
260,Neuron,Motif_48,0.8605621
261,Proliferating,Motif_48,-0.36452088
262,Secretory,Motif_48,-0.13632451
263,Stromal,Motif_48,0.081864685
264,Endothelial,Motif_50,0.486254
265,Epithelial,Motif_50,-0.036192983
266,Erythroid,Motif_50,-0.23552954
267,Germ,Motif_50,0.80467767
268,Hepatocyte,Motif_50,-0.8876363
269,Immune,Motif_50,-0.4138637
270,Muscle,Motif_50,0.02727336
271,Neuron,Motif_50,0.9653219
272,Proliferating,Motif_50,-0.69007736
273,Secretory,Motif_50,-0.3489704
274,Stromal,Motif_50,0.5657163
275,Endothelial,Motif_51,-0.94650984
276,Epithelial,Motif_51,-0.11576308
277,Erythroid,Motif_51,0.67532253
278,Germ,Motif_51,0.071106076
279,Hepatocyte,Motif_51,0.4468394
280,Immune,Motif_51,0.28772107
281,Muscle,Motif_51,-0.46270388
282,Neuron,Motif_51,-0.88354254
283,Proliferating,Motif_51,0.9195522
284,Secretory,Motif_51,-0.021693014
285,Stromal,Motif_51,-0.5743064
286,Endothelial,Motif_52,0.72481483
287,Epithelial,Motif_52,-0.14350055
288,Erythroid,Motif_52,-0.36066008
289,Germ,Motif_52,0.08788157
290,Hepatocyte,Motif_52,-0.5356464
291,Immune,Motif_52,-0.47642577
292,Muscle,Motif_52,0.43994185
293,Neuron,Motif_52,1.253731
294,Proliferating,Motif_52,-0.7462522
295,Secretory,Motif_52,-0.13219427
296,Stromal,Motif_52,0.55030674
297,Endothelial,Motif_53,-1.0144408
298,Epithelial,Motif_53,-0.1251858
299,Erythroid,Motif_53,0.7583015
300,Germ,Motif_53,-0.09541532
301,Hepatocyte,Motif_53,0.29749975
302,Immune,Motif_53,0.29839268
303,Muscle,Motif_53,-0.557635
304,Neuron,Motif_53,-0.898369
305,Proliferating,Motif_53,0.8155464
306,Secretory,Motif_53,-0.1126037
307,Stromal,Motif_53,-0.5559365
308,Endothelial,Motif_54,0.04056431
309,Epithelial,Motif_54,-0.060231842
310,Erythroid,Motif_54,0.09035412
311,Germ,Motif_54,0.71549535
312,Hepatocyte,Motif_54,-0.93990314
313,Immune,Motif_54,-0.6010437
314,Muscle,Motif_54,-0.39690796
315,Neuron,Motif_54,1.266294
316,Proliferating,Motif_54,-0.5255046
317,Secretory,Motif_54,-0.6368708
318,Stromal,Motif_54,0.5111386
319,Endothelial,Motif_56,0.93639463
320,Epithelial,Motif_56,0.09687716
321,Erythroid,Motif_56,-0.9397779
322,Germ,Motif_56,-0.07020383
323,Hepatocyte,Motif_56,0.07184861
324,Immune,Motif_56,0.21595524
325,Muscle,Motif_56,0.3607423
326,Neuron,Motif_56,0.25489056
327,Proliferating,Motif_56,-0.58863014
328,Secretory,Motif_56,0.2762859
329,Stromal,Motif_56,0.3597254
