,Cluster,Motif,Influe
138,Muscle,Motif_13,-0.2590788
139,Neuron,Motif_13,1.0991229
140,Proliferating,Motif_13,0.24096496
141,Secretory,Motif_13,-0.34429637
142,Stromal,Motif_13,-0.2733051
143,Endothelial,Motif_16,-0.4111917
144,Epithelial,Motif_16,-0.5959223
145,Erythroid,Motif_16,-0.9873756
146,Germ,Motif_16,-1.8524667
147,Hepatocyte,Motif_16,0.6287789
148,Immune,Motif_16,0.13978861
149,Muscle,Motif_16,0.07385191
150,Neuron,Motif_16,0.47538847
151,Proliferating,Motif_16,0.64716005
152,Secretory,Motif_16,-1.3015195
153,Stromal,Motif_16,0.30643547
154,Endothelial,Motif_17,-0.646038
155,Epithelial,Motif_17,0.3211426
156,Erythroid,Motif_17,-0.6521637
157,Germ,Motif_17,-1.0885234
158,Hepatocyte,Motif_17,0.9072919
159,Immune,Motif_17,0.92201316
160,Muscle,Motif_17,-0.53330404
161,Neuron,Motif_17,-1.0676569
162,Proliferating,Motif_17,-1.0889703
163,Secretory,Motif_17,-0.21172512
164,Stromal,Motif_17,-0.60157233
165,Endothelial,Motif_18,-0.17840734
166,Epithelial,Motif_18,0.26671478
167,Erythroid,Motif_18,-0.491291
168,Germ,Motif_18,-1.7188181
169,Hepatocyte,Motif_18,0.7625491
170,Immune,Motif_18,0.517761
171,Muscle,Motif_18,-0.040828165
172,Neuron,Motif_18,-0.5174136
173,Proliferating,Motif_18,-0.2695746
174,Secretory,Motif_18,-0.414222
175,Stromal,Motif_18,-0.13929887
176,Endothelial,Motif_19,0.53571427
177,Epithelial,Motif_19,-0.45907095
178,Erythroid,Motif_19,0.16995108
179,Germ,Motif_19,0.988343
180,Hepatocyte,Motif_19,-0.6286427
181,Immune,Motif_19,-0.9224731
182,Muscle,Motif_19,0.42263493
183,Neuron,Motif_19,1.1025897
184,Proliferating,Motif_19,1.140199
185,Secretory,Motif_19,-0.019149339
186,Stromal,Motif_19,0.56179154
187,Endothelial,Motif_20,-0.3653136
188,Epithelial,Motif_20,0.27583152
189,Erythroid,Motif_20,0.2662287
190,Germ,Motif_20,0.40115187
191,Hepatocyte,Motif_20,-0.3273089
192,Immune,Motif_20,0.15713896
193,Muscle,Motif_20,-0.3247331
194,Neuron,Motif_20,-0.3699156
195,Proliferating,Motif_20,-0.37685722
196,Secretory,Motif_20,0.34492534
197,Stromal,Motif_20,-0.35990188
198,Endothelial,Motif_21,-0.5007446
199,Epithelial,Motif_21,0.3844819
200,Erythroid,Motif_21,0.48908108
201,Germ,Motif_21,1.2870349
202,Hepatocyte,Motif_21,-0.4841459
203,Immune,Motif_21,0.2528927
204,Muscle,Motif_21,-0.2792012
205,Neuron,Motif_21,-0.5801079
206,Proliferating,Motif_21,-0.6280638
207,Secretory,Motif_21,1.0087894
208,Stromal,Motif_21,-0.4139185
209,Endothelial,Motif_22,-0.03251146
210,Epithelial,Motif_22,-0.03251146
211,Erythroid,Motif_22,-0.03251146
212,Germ,Motif_22,0.01972097
213,Hepatocyte,Motif_22,-0.03251146
214,Immune,Motif_22,-0.03251146
215,Muscle,Motif_22,-0.031125028
216,Neuron,Motif_22,-0.03251146
217,Proliferating,Motif_22,-0.03251146
218,Secretory,Motif_22,-0.03251146
219,Stromal,Motif_22,-0.03251146
220,Endothelial,Motif_23,0.05096543
221,Epithelial,Motif_23,-0.22552408
222,Erythroid,Motif_23,-0.36328006
223,Germ,Motif_23,-1.1075164
224,Hepatocyte,Motif_23,0.41212544
225,Immune,Motif_23,-0.25331387
226,Muscle,Motif_23,0.1507922
227,Neuron,Motif_23,0.5805782
228,Proliferating,Motif_23,0.8872836
229,Secretory,Motif_23,-0.8443922
230,Stromal,Motif_23,0.0942353
231,Endothelial,Motif_24,-0.63733447
232,Epithelial,Motif_24,-0.14156723
233,Erythroid,Motif_24,-0.733779
234,Germ,Motif_24,-1.8869674
235,Hepatocyte,Motif_24,0.988621
236,Immune,Motif_24,0.26860255
237,Muscle,Motif_24,-0.14194916
238,Neuron,Motif_24,-0.0688374
239,Proliferating,Motif_24,0.2873785
240,Secretory,Motif_24,-1.1358875
241,Stromal,Motif_24,-0.36276615
242,Endothelial,Motif_25,-0.27897102
243,Epithelial,Motif_25,-0.06629111
244,Erythroid,Motif_25,0.6102403
245,Germ,Motif_25,1.7692279
246,Hepatocyte,Motif_25,-0.31024656
247,Immune,Motif_25,-0.11795209
248,Muscle,Motif_25,-0.17957939
249,Neuron,Motif_25,-0.3000347
250,Proliferating,Motif_25,-0.31669527
251,Secretory,Motif_25,0.25379655
252,Stromal,Motif_25,-0.25825122
253,Endothelial,Motif_26,-0.0063013122
254,Epithelial,Motif_26,-0.0063013122
255,Erythroid,Motif_26,-0.0063013122
256,Germ,Motif_26,-0.0055714827
257,Hepatocyte,Motif_26,-0.0063013122
258,Immune,Motif_26,-0.0063013122
259,Muscle,Motif_26,-0.0049327575
260,Neuron,Motif_26,-0.0063013122
261,Proliferating,Motif_26,-0.0063013122
262,Secretory,Motif_26,-0.0063013122
263,Stromal,Motif_26,-0.0063013122
264,Endothelial,Motif_27,-0.3657332
265,Epithelial,Motif_27,0.23056178
266,Erythroid,Motif_27,-0.22820409
267,Germ,Motif_27,-0.22637865
268,Hepatocyte,Motif_27,-0.25907648
269,Immune,Motif_27,0.47882202
270,Muscle,Motif_27,-0.3521866
271,Neuron,Motif_27,-0.36216098
272,Proliferating,Motif_27,-0.3657332
273,Secretory,Motif_27,-0.21940368
274,Stromal,Motif_27,-0.3630898
275,Endothelial,Motif_28,0.44179496
276,Epithelial,Motif_28,-0.6004805
277,Erythroid,Motif_28,-0.351628
278,Germ,Motif_28,-0.33841392
279,Hepatocyte,Motif_28,-0.68525106
280,Immune,Motif_28,-0.6754929
281,Muscle,Motif_28,0.44641784
282,Neuron,Motif_28,1.5556643
283,Proliferating,Motif_28,1.1990697
284,Secretory,Motif_28,-0.35573104
285,Stromal,Motif_28,0.7135662
286,Endothelial,Motif_29,-0.052306708
287,Epithelial,Motif_29,-0.050122473
288,Erythroid,Motif_29,-0.0034422625
289,Germ,Motif_29,0.03737012
290,Hepatocyte,Motif_29,-0.052306708
291,Immune,Motif_29,-0.036373913
292,Muscle,Motif_29,-0.048106898
293,Neuron,Motif_29,-0.051990774
294,Proliferating,Motif_29,-0.052306708
295,Secretory,Motif_29,-0.046541803
296,Stromal,Motif_29,-0.052306708
297,Endothelial,Motif_31,0.44727695
298,Epithelial,Motif_31,0.079622954
299,Erythroid,Motif_31,0.8435246
300,Germ,Motif_31,1.9107026
301,Hepatocyte,Motif_31,-0.67164224
302,Immune,Motif_31,-0.42506298
303,Muscle,Motif_31,0.07934525
304,Neuron,Motif_31,-0.19921307
305,Proliferating,Motif_31,-0.26642862
306,Secretory,Motif_31,0.86186343
307,Stromal,Motif_31,0.18455848
308,Endothelial,Motif_32,-0.21424083
309,Epithelial,Motif_32,-0.21093222
310,Erythroid,Motif_32,-0.21424083
311,Germ,Motif_32,-0.21424083
312,Hepatocyte,Motif_32,-0.21424083
313,Immune,Motif_32,-0.21424083
314,Muscle,Motif_32,-0.21417801
315,Neuron,Motif_32,0.57822657
316,Proliferating,Motif_32,-0.21424083
317,Secretory,Motif_32,-0.21424083
318,Stromal,Motif_32,-0.20940638
319,Endothelial,Motif_34,-0.009335024
320,Epithelial,Motif_34,-0.009335024
321,Erythroid,Motif_34,-0.009335024
322,Germ,Motif_34,-0.004949426
323,Hepatocyte,Motif_34,-0.009335024
324,Immune,Motif_34,-0.009335024
325,Muscle,Motif_34,-0.009335024
326,Neuron,Motif_34,-0.009335024
327,Proliferating,Motif_34,-0.009335024
328,Secretory,Motif_34,-0.009335024
329,Stromal,Motif_34,-0.009335024
330,Endothelial,Motif_35,-0.050823543
331,Epithelial,Motif_35,-0.050823543
332,Erythroid,Motif_35,0.09566385
333,Germ,Motif_35,0.07389974
334,Hepatocyte,Motif_35,-0.050823543
335,Immune,Motif_35,-0.050823543
336,Muscle,Motif_35,-0.04942462
337,Neuron,Motif_35,-0.050823543
338,Proliferating,Motif_35,-0.050823543
339,Secretory,Motif_35,-0.050823543
340,Stromal,Motif_35,-0.050823543
341,Endothelial,Motif_36,0.32981023
342,Epithelial,Motif_36,-0.20451057
343,Erythroid,Motif_36,0.80593204
344,Germ,Motif_36,1.9228673
345,Hepatocyte,Motif_36,-0.70631444
346,Immune,Motif_36,-0.72958195
347,Muscle,Motif_36,0.23722285
348,Neuron,Motif_36,0.37084717
