,Celltype,Motif,Influe
121,Zebrafish53,Motif_2,0.85896206
122,Zebrafish54,Motif_2,-0.56052834
123,Zebrafish55,Motif_2,-0.56052834
124,Zebrafish57,Motif_2,-0.4813332
125,Zebrafish58,Motif_2,-0.544772
126,Zebrafish59,Motif_2,-0.54011315
127,Zebrafish6,Motif_2,0.38266996
128,Zebrafish60,Motif_2,-0.56052834
129,Zebrafish61,Motif_2,-0.56052834
130,Zebrafish62,Motif_2,-0.5428383
131,Zebrafish63,Motif_2,-0.528852
132,Zebrafish64,Motif_2,-0.54248977
133,Zebrafish65,Motif_2,-0.54617214
134,Zebrafish66,Motif_2,-0.5196198
135,Zebrafish67,Motif_2,-0.56052834
136,Zebrafish68,Motif_2,-0.56052834
137,Zebrafish69,Motif_2,-0.55980766
138,Zebrafish7,Motif_2,1.4468294
139,Zebrafish70,Motif_2,-0.56052834
140,Zebrafish71,Motif_2,-0.56052834
141,Zebrafish73,Motif_2,-0.56052834
142,Zebrafish74,Motif_2,-0.56052834
143,Zebrafish75,Motif_2,-0.49326628
144,Zebrafish77,Motif_2,-0.56052834
145,Zebrafish78,Motif_2,-0.56052834
146,Zebrafish79,Motif_2,-0.56052834
147,Zebrafish8,Motif_2,1.7006571
148,Zebrafish80,Motif_2,1.0718983
149,Zebrafish81,Motif_2,-0.3066232
150,Zebrafish83,Motif_2,-0.56052834
151,Zebrafish84,Motif_2,0.6291247
152,Zebrafish85,Motif_2,-0.44842264
153,Zebrafish86,Motif_2,-0.56052834
154,Zebrafish87,Motif_2,-0.56052834
155,Zebrafish9,Motif_2,-0.559977
156,Zebrafish1,Motif_3,-0.5222358
157,Zebrafish10,Motif_3,1.8399658
158,Zebrafish11,Motif_3,0.57493734
159,Zebrafish12,Motif_3,-0.016743723
160,Zebrafish13,Motif_3,-1.0068539
161,Zebrafish14,Motif_3,-0.019813634
162,Zebrafish15,Motif_3,1.852177
163,Zebrafish16,Motif_3,-0.3309376
164,Zebrafish17,Motif_3,-0.39951935
165,Zebrafish18,Motif_3,0.2574766
166,Zebrafish19,Motif_3,-0.35947087
167,Zebrafish2,Motif_3,-0.3858759
168,Zebrafish20,Motif_3,-0.41631266
