,type,eta
0,eta,0.8618518299088409
1,eta,0.8519858032241687
2,eta,0.8442374895087742
3,eta,0.8197081813917532
4,eta,0.8699402543301864
5,eta,0.8004864624411596
6,eta,0.8357511229487713
7,eta,0.8367580779147883
8,eta,0.8343665024642133
9,eta,0.7791692995179139
10,eta,0.8824817389463114
11,eta,0.830213596626775
12,eta,0.7588328560411596
13,eta,0.7793898558065391
14,eta,0.8094722417365801
15,eta,0.8134201281733803
16,eta,0.7970652011772168
17,eta,0.7827069528455766
18,eta,0.7596111828924313
19,eta,0.7384599938854929
20,eta,0.7764156523354309
21,eta,0.7697080584019678
22,eta,0.7961714671130259
23,eta,0.8227489812029685
24,eta,0.9124402302296714
25,eta,0.8003488477349431
26,eta,0.8039151809481829
27,eta,0.7924663733897719
28,eta,0.739359452258814
29,eta,0.8110455418314964
30,eta,0.8515142585968211
31,eta,0.8409314386377783
32,eta,0.7969610444096032
33,eta,0.7546206887577402
34,eta,0.7265924444039086
35,eta,0.7459603590290893
36,eta,0.8450251729389029
37,eta,0.7435405716115532
38,eta,0.8315081535481181
39,eta,0.8002404535538837
40,eta,0.8674030304076377
41,eta,0.7914401832853788
42,eta,0.6082156655155028
43,eta,0.7964287602890983
44,eta,0.825185412564764
45,eta,0.7844390670818421
46,eta,0.7721275577013669
47,eta,0.8553802944109492
48,eta,0.8499341354166339
49,eta,0.8222534472478902
50,eta,0.6702081541959458
51,eta,0.8975537688193501
52,eta,0.8257580278280707
53,eta,0.7693891231769944
54,eta,0.6103254554747122
55,eta,0.7773847355302187
56,eta,0.7978311987350781
57,eta,0.8117406594946057
58,eta,0.6794555975128439
59,eta,0.8197035548493699
60,eta,0.7903020901044083
61,eta,0.650001144716053
62,eta,0.9004280545182866
63,eta,0.8427357662395001
64,eta,0.7812910139453724
65,eta,0.8119850492652565
66,eta,0.8141114708603994
67,eta,0.5602812726948595
68,eta,0.8094281924515058
69,eta,0.7799620562111114
70,eta,0.8376847148007707
71,eta,0.8786675492157175
72,eta,0.8198580962347063
73,eta,0.775094044675006
74,eta,0.8775625996610927
75,eta,0.8703500094187714
76,eta,0.7562032446191506
77,eta,0.8737535676177665
78,eta,0.8334243609983278
79,eta,0.7879393166673877
80,eta,0.7785173802741882
81,eta,0.8110196802974005
82,eta,0.8369310032963522
83,eta,0.7773894864002894
84,eta,0.7616426278118813
85,eta,0.7683921136851379
86,eta,0.8434502015530747
87,eta,0.8230307076205386
88,eta,0.8866465688587513
89,eta,0.8085637333556284
90,eta,0.7858933405257161
91,eta,0.8037920351620941
92,eta,0.7991533383576226
93,eta,0.8668390087698233
94,eta,0.7973510582377519
95,eta,0.8416689302634701
96,eta,0.7956049226899129
97,eta,0.7731815813662319
98,eta,0.7637508938320442
99,eta,0.7962703210481666
100,eta,0.8121301274553924
101,eta,0.830341786521066
102,eta,0.661554672839187
103,eta,0.7662268085206378
104,eta,0.7783799643654491
105,eta,0.813570681460103
106,eta,0.8046138916333241
107,eta,0.8757254073060067
108,eta,0.8265490549732392
109,eta,0.739209973942923
110,eta,0.8232262064541714
111,eta,0.8881779030792424
112,eta,0.7647412653361818
113,eta,0.8009274574506708
114,eta,0.877009055680543
115,eta,0.7328018581044484
116,eta,0.7841860300983231
117,eta,0.8245531379617385
118,eta,0.802944502791021
119,eta,0.8173197110726269
120,eta,0.8094506470144948
121,eta,0.7729124839209441
122,eta,0.8087339501407748
123,eta,0.8281107280671091
124,eta,0.7603796807175354
