,ID,freq,IC,Reductant,influence,MotifName,Anno,Query_ID,sum_cnt,sum_match
84,84,0.0019679212285143,9.989111810685213,0,0.9757012,0,0.0,Motif_84,10,10
85,85,0.0013473371481781,10.535673378819002,0,1.0033686,0,0.0,Motif_85,10,10
86,86,0.0033634621953214,9.215837242020918,1,1.0020113,0,0.0,Motif_86,17,10
87,87,0.0018664704453856,10.06547162018567,0,0.9751781,0,0.0,Motif_87,10,10
88,88,0.0031463843543541,9.312089367166363,0,1.0039117,0,0.0,Motif_88,10,10
89,89,0.0031697502241926,9.301415123955456,0,1.0006589,0,0.0,Motif_89,10,10
90,90,0.0056765429649526,8.460771693963359,1,0.99809456,0,0.0,Motif_90,30,10
91,91,0.0032101644807057,9.28313706537707,0,1.0125301,0,0.0,Motif_91,25,10
92,92,0.0004896393192106,11.995992964998106,0,1.1237391,Motif_92,1.0,Motif_92,27,10
93,93,0.0041823589037955,8.901467414387232,0,0.9699219,0,0.0,Motif_93,11,10
94,94,0.0036055968120113,9.115546205094526,0,0.9787242,0,0.0,Motif_94,10,10
95,95,0.0021257802932656,9.877791787602794,0,1.0044793,0,0.0,Motif_95,15,10
96,96,0.0055307119989168,8.498319066193933,1,1.0140418,0,0.0,Motif_96,30,10
97,97,0.0028252435536971,9.46740904242089,0,1.0098069,0,0.0,Motif_97,10,10
98,98,0.0041521731398883,8.911917681320274,0,1.0159634,0,0.0,Motif_98,14,7
99,99,0.001726288995231,10.178110280698045,0,1.0101874,0,0.0,Motif_99,10,10
100,100,0.0007086734615343,11.462591355670927,0,1.0223435,0,0.0,Motif_100,19,10
101,101,0.0023592572446122,9.727451551420629,0,1.0329008,0,0.0,Motif_101,10,10
102,102,0.0036503550104067,9.097747506464724,0,0.99680513,0,0.0,Motif_102,29,10
103,103,0.001069090869413,10.86939980178136,0,0.9525913,0,0.0,Motif_103,16,10
104,104,0.0022143300424663,9.81891401505257,0,0.9740996,0,0.0,Motif_104,10,10
105,105,0.0004754087607808,12.038543890197062,0,1.030812,Motif_105,1.0,Motif_105,10,10
106,106,0.0013673258418414,10.514427197978817,0,0.9282789,0,0.0,Motif_106,23,10
107,107,0.0005062287744398,11.947922865854618,0,1.0082822,Motif_107,1.0,Motif_107,52,10
108,108,0.0083053495703704,7.911743392473671,0,1.0391196,0,0.0,Motif_108,10,10
109,109,0.0028199713995158,9.470103753947884,0,1.0337998,0,0.0,Motif_109,10,10
110,110,0.0022364943228352,9.80454518848269,0,0.9761978,0,0.0,Motif_110,19,10
111,111,0.0033139344901269,9.23723920102342,0,0.9364081,0,0.0,Motif_111,10,10
112,112,0.0046630654375373,8.744505609273762,0,0.97374755,0,0.0,Motif_112,14,10
113,113,0.0026695586094126,9.54918306134584,1,1.0653149,0,0.0,Motif_113,22,10
114,114,0.0038763314187499,9.011092361033308,0,0.9964467,0,0.0,Motif_114,10,10
115,115,0.0009662488163624,11.015317637786616,0,1.0038147,0,0.0,Motif_115,44,10
116,116,0.0018357376775321,10.08942436880914,0,1.0328549,0,0.0,Motif_116,56,10
117,117,0.0038558484644747,9.01873593014988,1,0.99940664,0,0.0,Motif_117,25,10
118,118,0.0019758426598255,9.98331621776338,0,0.9924719,0,0.0,Motif_118,10,10
119,119,0.0023109926346443,9.757271622856948,0,0.97264075,0,0.0,Motif_119,11,10
120,120,0.002661339006284,9.553631989434075,0,0.9986287,0,0.0,Motif_120,22,10
121,121,0.0024075756192303,9.698203172460316,0,1.0394672,0,0.0,Motif_121,17,10
122,122,0.002470697163761,9.660866095976251,0,0.9854829,0,0.0,Motif_122,9,9
123,123,0.0019316045547469,10.015984514142474,0,1.0362309,0,0.0,Motif_123,10,10
124,124,0.0013973767059266,10.48306328860274,0,0.9733213,0,0.0,Motif_124,10,10
125,125,0.0027522916390238,9.505150935304826,0,0.9997909,0,0.0,Motif_125,10,10
126,126,0.0015851911803881,10.30112743901977,0,1.0037597,0,0.0,Motif_126,25,10
127,127,0.0030210982886564,9.370711163075384,0,0.98518133,0,0.0,Motif_127,10,10
