,ID,freq,IC,Reductant,influence,MotifName,Anno,Query_ID,sum_cnt,sum_match
103,103,0.0009267364082601,11.075553328263574,1,0.99087423,Motif_103,1.0,Motif_103,77,10
104,104,0.0043876948098944,8.832321103397746,0,0.93240786,Motif_104,1.0,Motif_104,10,10
105,105,0.0010753679784044,10.860953866913988,0,1.0165179,0,0.0,Motif_105,10,10
106,106,0.000838658405599,11.21962907412794,0,1.1291978,0,0.0,Motif_106,20,10
107,107,0.0028226755071301,9.468720997589628,0,1.0194113,0,0.0,Motif_107,10,10
108,108,0.0006911786431018,11.498653739546674,0,1.0114021,0,0.0,Motif_108,20,10
109,109,0.0051526936424349,8.600457466220972,1,0.9105554,Motif_109,1.0,Motif_109,30,10
110,110,0.0045581083657448,8.777349060615188,0,1.0034293,0,0.0,Motif_110,20,10
111,111,0.0024981360105969,9.644932258287886,1,1.0346632,0,0.0,Motif_111,46,10
112,112,0.0029567396047843,9.40177709139938,0,1.0293428,0,0.0,Motif_112,10,10
113,113,0.0019985353970652,9.966841159380216,0,1.0875888,0,0.0,Motif_113,10,10
114,114,0.0008287985830403,11.236690843033744,0,1.0368209,0,0.0,Motif_114,15,10
115,115,0.0033728685702369,9.21180818236347,0,0.83004504,0,0.0,Motif_115,30,10
116,116,0.007163975275202,8.125023926456718,0,0.83126664,0,0.0,Motif_116,10,10
117,117,0.0017959933095714,10.121002308895967,0,1.0425284,Motif_117,1.0,Motif_117,10,10
118,118,0.0023025421900614,9.762556693238052,0,1.0730402,0,0.0,Motif_118,25,10
119,119,0.0148109675827242,7.077190296534879,0,1.037615,0,0.0,Motif_119,10,10
120,120,0.011431498906883,7.450841606541786,0,1.191775,0,0.0,Motif_120,12,10
121,121,0.0046001835296709,8.764092864348024,0,1.0015838,0,0.0,Motif_121,10,10
122,122,0.002001359388794,9.96480402602663,0,0.96140593,0,0.0,Motif_122,10,10
123,123,0.0039237161081892,8.993563622341389,1,0.9398842,0,0.0,Motif_123,26,10
124,124,0.0032050757601286,9.28542582564333,1,0.9497437,0,0.0,Motif_124,44,10
125,125,0.0017521659281,10.15664488169102,0,1.2320927,0,0.0,Motif_125,19,10
126,126,0.0018420922369353,10.08443898303866,0,1.1044812,0,0.0,Motif_126,23,10
127,127,0.003739977950249,9.06275452020695,0,1.0001851,Motif_127,1.0,Motif_127,10,10
