,Celltype,Motif,Influe
146,Drosophila35,Motif_15,0.0
147,Drosophila37,Motif_15,0.0
148,Drosophila38,Motif_15,0.0
149,Drosophila39,Motif_15,0.0
150,Drosophila4,Motif_15,0.0
151,Drosophila41,Motif_15,0.0
152,Drosophila44,Motif_15,1.0
153,Drosophila46,Motif_15,0.0
154,Drosophila5,Motif_15,0.0
155,Drosophila52,Motif_15,0.0
156,Drosophila54,Motif_15,0.0
157,Drosophila55,Motif_15,1.0
158,Drosophila56,Motif_15,0.0
159,Drosophila57,Motif_15,0.0
160,Drosophila58,Motif_15,0.0
161,Drosophila6,Motif_15,0.0
162,Drosophila7,Motif_15,1.0
163,Drosophila8,Motif_15,0.0
164,Drosophila9,Motif_15,0.0
165,Drosophila1,Motif_16,0.0
166,Drosophila10,Motif_16,1.0
167,Drosophila13,Motif_16,0.0
168,Drosophila14,Motif_16,0.0
169,Drosophila15,Motif_16,0.0
170,Drosophila16,Motif_16,0.0
171,Drosophila18,Motif_16,0.0
172,Drosophila19,Motif_16,0.0
173,Drosophila20,Motif_16,0.0
174,Drosophila23,Motif_16,0.0
175,Drosophila25,Motif_16,1.0
176,Drosophila29,Motif_16,0.0
177,Drosophila3,Motif_16,0.0
178,Drosophila31,Motif_16,1.0
179,Drosophila35,Motif_16,0.0
180,Drosophila37,Motif_16,1.0
181,Drosophila38,Motif_16,0.0
182,Drosophila39,Motif_16,1.0
183,Drosophila4,Motif_16,0.0
184,Drosophila41,Motif_16,0.0
185,Drosophila44,Motif_16,0.0
186,Drosophila46,Motif_16,1.0
187,Drosophila5,Motif_16,0.0
188,Drosophila52,Motif_16,0.0
189,Drosophila54,Motif_16,0.0
190,Drosophila55,Motif_16,0.0
191,Drosophila56,Motif_16,1.0
192,Drosophila57,Motif_16,1.0
193,Drosophila58,Motif_16,1.0
194,Drosophila6,Motif_16,0.0
195,Drosophila7,Motif_16,0.0
196,Drosophila8,Motif_16,1.0
197,Drosophila9,Motif_16,0.0
198,Drosophila1,Motif_19,0.0
199,Drosophila10,Motif_19,0.0
200,Drosophila13,Motif_19,0.0
201,Drosophila14,Motif_19,0.0
202,Drosophila15,Motif_19,0.0
203,Drosophila16,Motif_19,0.0
204,Drosophila18,Motif_19,0.0
205,Drosophila19,Motif_19,0.0
206,Drosophila20,Motif_19,0.0
207,Drosophila23,Motif_19,0.0
208,Drosophila25,Motif_19,1.0
209,Drosophila29,Motif_19,0.0
210,Drosophila3,Motif_19,0.0
211,Drosophila31,Motif_19,1.0
212,Drosophila35,Motif_19,0.0
213,Drosophila37,Motif_19,1.0
214,Drosophila38,Motif_19,0.0
215,Drosophila39,Motif_19,1.0
216,Drosophila4,Motif_19,0.0
217,Drosophila41,Motif_19,0.0
218,Drosophila44,Motif_19,0.0
219,Drosophila46,Motif_19,1.0
220,Drosophila5,Motif_19,0.0
221,Drosophila52,Motif_19,0.0
222,Drosophila54,Motif_19,0.0
223,Drosophila55,Motif_19,0.0
224,Drosophila56,Motif_19,1.0
225,Drosophila57,Motif_19,1.0
226,Drosophila58,Motif_19,1.0
227,Drosophila6,Motif_19,0.0
228,Drosophila7,Motif_19,0.0
229,Drosophila8,Motif_19,1.0
230,Drosophila9,Motif_19,0.0
231,Drosophila1,Motif_21,0.0
232,Drosophila10,Motif_21,0.0
233,Drosophila13,Motif_21,1.0
234,Drosophila14,Motif_21,1.0
235,Drosophila15,Motif_21,1.0
236,Drosophila16,Motif_21,1.0
237,Drosophila18,Motif_21,1.0
238,Drosophila19,Motif_21,0.0
239,Drosophila20,Motif_21,0.0
240,Drosophila23,Motif_21,0.0
241,Drosophila25,Motif_21,0.0
242,Drosophila29,Motif_21,1.0
243,Drosophila3,Motif_21,1.0
244,Drosophila31,Motif_21,0.0
245,Drosophila35,Motif_21,1.0
246,Drosophila37,Motif_21,0.0
247,Drosophila38,Motif_21,0.0
248,Drosophila39,Motif_21,0.0
249,Drosophila4,Motif_21,0.0
250,Drosophila41,Motif_21,0.0
251,Drosophila44,Motif_21,0.0
252,Drosophila46,Motif_21,0.0
253,Drosophila5,Motif_21,0.0
254,Drosophila52,Motif_21,1.0
