,type,eta
0,eta,0.577904248002029
1,eta,0.6447809694350515
2,eta,0.6069789703933601
3,eta,0.6935890413822132
4,eta,0.4304484555838318
5,eta,0.6134626777945874
6,eta,0.6039428008844643
7,eta,0.5983061635191873
8,eta,0.5911157864371478
9,eta,0.5801653563137787
10,eta,0.6565023830295809
11,eta,0.5649692874247665
12,eta,0.6190645309822868
13,eta,0.5812066450197713
14,eta,0.5763448571917842
15,eta,0.7116979526894353
16,eta,0.3401783094366057
17,eta,0.5927040285413273
18,eta,0.6255059398298842
19,eta,0.25975547676954874
20,eta,0.6300784929569181
21,eta,0.6626278972943342
22,eta,0.6412656669797336
23,eta,0.6134329311709104
24,eta,0.6042531739750185
25,eta,0.5343275686428087
26,eta,0.5045137942682819
27,eta,0.6138953248757352
28,eta,0.651617314175532
29,eta,0.5785757587107474
30,eta,0.6068855581194953
31,eta,0.638333181256272
32,eta,0.6001594734562464
33,eta,0.6433902865176414
34,eta,0.5420979043413202
35,eta,0.5909192055018635
36,eta,0.6187316229257146
37,eta,0.5499686998789084
38,eta,0.616244424247482
39,eta,0.5463555974689522
40,eta,0.6166129489721361
41,eta,0.5910112013767407
42,eta,0.5653635189591961
43,eta,0.5632996722448347
44,eta,0.6464417245696068
45,eta,0.6585718250768543
46,eta,0.6087297291968612
47,eta,0.5558450646202914
48,eta,0.6002486798708161
49,eta,0.6806940862906101
50,eta,0.21933221185088525
51,eta,0.5987268732683168
52,eta,0.5987857162397099
53,eta,0.5568532238089944
54,eta,0.48915342020359387
55,eta,0.4355182410720837
56,eta,0.630727805602612
57,eta,0.5508064692557866
58,eta,0.5757334244121957
59,eta,0.5608862418848897
60,eta,0.5522087579714242
61,eta,0.6095520931879119
62,eta,0.48509148759826237
63,eta,0.5503034806865618
64,eta,0.4592680758419485
65,eta,0.593456171006503
66,eta,0.6468435768182739
67,eta,0.5924942228159047
68,eta,0.6024893084636023
69,eta,0.6216229695451654
70,eta,0.5591887362867
71,eta,0.5196395944006154
72,eta,0.5856411660316898
73,eta,0.4910648738036859
74,eta,0.6365144752589211
75,eta,0.6380750289524223
76,eta,0.6418592311441896
77,eta,0.5919114005577497
78,eta,0.570948398144692
79,eta,0.5837763249045839
80,eta,0.5826513591777606
81,eta,0.46369171415114874
82,eta,0.6247476251261042
83,eta,0.3792525912433037
84,eta,0.5481402096259517
85,eta,0.5923401779906375
86,eta,0.5857741620211538
87,eta,0.5651206054869449
88,eta,0.5028235676478632
89,eta,0.26384253101146266
90,eta,0.6159334892654794
91,eta,0.6146445535258305
92,eta,0.5977791422393637
93,eta,0.6025899973962089
94,eta,0.2920027274660137
95,eta,0.5701523838521776
96,eta,0.4040669599498333
97,eta,0.5819753020225589
98,eta,0.2666560182492538
99,eta,0.2950140037745911
