,Cluster,Motif,Influe
143,Epithelial,Motif_31,-1.2118391
144,FatBody,Motif_31,-0.29120168
145,Follicle,Motif_31,0.18164805
146,Germ,Motif_31,0.48321265
147,Gut,Motif_31,-1.2267218
148,Hemocytes,Motif_31,-1.190244
149,MAG,Motif_31,-0.61962456
150,MT,Motif_31,-0.4211986
151,Muscle,Motif_31,1.4170916
152,Neuron,Motif_31,0.9305658
153,Proliferating,Motif_31,-0.02643679
154,Epithelial,Motif_32,-0.051075716
155,FatBody,Motif_32,0.56490093
156,Follicle,Motif_32,-0.2498788
157,Germ,Motif_32,0.52156055
158,Gut,Motif_32,0.4584026
159,Hemocytes,Motif_32,0.41913432
160,MAG,Motif_32,1.7490664
161,MT,Motif_32,0.4306132
162,Muscle,Motif_32,-0.09040818
163,Neuron,Motif_32,-0.3000533
164,Proliferating,Motif_32,0.24945004
165,Epithelial,Motif_33,-1.3887191
166,FatBody,Motif_33,0.772444
167,Follicle,Motif_33,0.44354498
168,Germ,Motif_33,1.4496367
169,Gut,Motif_33,-0.16108471
170,Hemocytes,Motif_33,-0.23414677
171,MAG,Motif_33,-0.822958
172,MT,Motif_33,0.21800047
173,Muscle,Motif_33,0.9976637
174,Neuron,Motif_33,-0.94377613
175,Proliferating,Motif_33,0.5087756
176,Epithelial,Motif_34,0.31713545
177,FatBody,Motif_34,0.4052755
178,Follicle,Motif_34,0.18625683
179,Germ,Motif_34,0.52642757
180,Gut,Motif_34,0.9971402
181,Hemocytes,Motif_34,0.7486502
182,MAG,Motif_34,0.40824357
183,MT,Motif_34,0.2056151
184,Muscle,Motif_34,-0.85839134
185,Neuron,Motif_34,-1.5908909
186,Proliferating,Motif_34,0.3407622
187,Epithelial,Motif_35,0.6136444
188,FatBody,Motif_35,-1.2281575
189,Follicle,Motif_35,-0.19112504
190,Germ,Motif_35,-1.5951654
191,Gut,Motif_35,-0.86307013
192,Hemocytes,Motif_35,-0.53721094
193,MAG,Motif_35,0.09406685
194,MT,Motif_35,-0.4910446
195,Muscle,Motif_35,-0.21115126
196,Neuron,Motif_35,1.5049671
197,Proliferating,Motif_35,-0.41510612
198,Epithelial,Motif_36,-1.0811353
199,FatBody,Motif_36,1.2550648
200,Follicle,Motif_36,0.27303937
201,Germ,Motif_36,1.5958799
202,Gut,Motif_36,0.3907182
203,Hemocytes,Motif_36,0.24717881
204,MAG,Motif_36,-0.8669681
205,MT,Motif_36,0.51389104
206,Muscle,Motif_36,0.7916329
207,Neuron,Motif_36,-1.1382352
208,Proliferating,Motif_36,0.49437866
209,Epithelial,Motif_42,-0.24363375
210,FatBody,Motif_42,0.38489887
211,Follicle,Motif_42,0.36486098
212,Germ,Motif_42,0.937288
213,Gut,Motif_42,0.57170284
214,Hemocytes,Motif_42,0.43588036
215,MAG,Motif_42,-0.36035874
216,MT,Motif_42,0.1326413
217,Muscle,Motif_42,-0.46816036
218,Neuron,Motif_42,-1.5538883
219,Proliferating,Motif_42,0.27190724
220,Epithelial,Motif_44,-1.3155817
