,Cluster,Motif,Influe
131,Proliferating,"(0, 34)",0.44069374
132,Epithelial,"(0, 35)",0.8850663
133,FatBody,"(0, 35)",-0.86839664
134,Follicle,"(0, 35)",-0.069551565
135,Germ,"(0, 35)",-1.7288444
136,Gut,"(0, 35)",-0.4048596
137,Hemocytes,"(0, 35)",-0.3945458
138,MAG,"(0, 35)",-1.1401066
139,MT,"(0, 35)",-0.5033376
140,Muscle,"(0, 35)",-0.35193604
141,Neuron,"(0, 35)",1.0095266
142,Proliferating,"(0, 35)",-0.12004592
143,Epithelial,"(0, 36)",-0.6753473
144,FatBody,"(0, 36)",1.4743729
145,Follicle,"(0, 36)",0.08900336
146,Germ,"(0, 36)",1.5238981
147,Gut,"(0, 36)",0.84430754
148,Hemocytes,"(0, 36)",0.5029538
149,MAG,"(0, 36)",-0.62095046
150,MT,"(0, 36)",0.71423393
151,Muscle,"(0, 36)",0.6327426
152,Neuron,"(0, 36)",-1.1676935
153,Proliferating,"(0, 36)",0.58000827
154,Epithelial,"(0, 42)",-0.034439318
155,FatBody,"(0, 42)",1.0564216
156,Follicle,"(0, 42)",0.122272275
157,Germ,"(0, 42)",1.0562412
158,Gut,"(0, 42)",1.0576036
159,Hemocytes,"(0, 42)",0.66320366
160,MAG,"(0, 42)",-0.32007778
161,MT,"(0, 42)",0.52757376
162,Muscle,"(0, 42)",-0.20990983
163,Neuron,"(0, 42)",-1.4802364
164,Proliferating,"(0, 42)",0.4477066
165,Epithelial,"(0, 44)",-0.91091424
166,FatBody,"(0, 44)",1.2495413
167,Follicle,"(0, 44)",0.17563151
168,Germ,"(0, 44)",1.4113942
169,Gut,"(0, 44)",0.47086334
170,Hemocytes,"(0, 44)",0.29879057
171,MAG,"(0, 44)",-1.0136958
172,MT,"(0, 44)",0.504317
173,Muscle,"(0, 44)",0.7905521
174,Neuron,"(0, 44)",-0.88910687
175,Proliferating,"(0, 44)",0.63980544
176,Epithelial,"(0, 48)",-0.4663952
177,FatBody,"(0, 48)",1.4579296
178,Follicle,"(0, 48)",0.089017816
179,Germ,"(0, 48)",0.99046
180,Gut,"(0, 48)",0.89444995
181,Hemocytes,"(0, 48)",0.4919755
182,MAG,"(0, 48)",-0.4868679
183,MT,"(0, 48)",0.62349236
184,Muscle,"(0, 48)",0.525725
185,Neuron,"(0, 48)",-1.1687365
186,Proliferating,"(0, 48)",0.74809223
187,Epithelial,"(0, 53)",0.21900302
188,FatBody,"(0, 53)",1.0542382
189,Follicle,"(0, 53)",0.021497564
190,Germ,"(0, 53)",0.92077225
191,Gut,"(0, 53)",1.1741495
192,Hemocytes,"(0, 53)",0.7668345
193,MAG,"(0, 53)",-0.23208247
194,MT,"(0, 53)",0.65225786
195,Muscle,"(0, 53)",-0.3184971
196,Neuron,"(0, 53)",-1.4078972
197,Proliferating,"(0, 53)",0.39294696
198,Epithelial,"(0, 54)",-0.06744016
199,FatBody,"(0, 54)",0.18099707
200,Follicle,"(0, 54)",-0.06733316
201,Germ,"(0, 54)",-0.06744016
202,Gut,"(0, 54)",0.0887976
203,Hemocytes,"(0, 54)",-0.06744016
204,MAG,"(0, 54)",-0.06744016
205,MT,"(0, 54)",-0.058337748
206,Muscle,"(0, 54)",-0.06744016
207,Neuron,"(0, 54)",-0.06744016
208,Proliferating,"(0, 54)",-0.06744016
209,Epithelial,"(0, 55)",-0.13441327
210,FatBody,"(0, 55)",0.41129526
211,Follicle,"(0, 55)",-0.17429385
212,Germ,"(0, 55)",-0.1692268
213,Gut,"(0, 55)",0.7088125
214,Hemocytes,"(0, 55)",-0.12875502
215,MAG,"(0, 55)",-0.09113608
216,MT,"(0, 55)",-0.03731768
217,Muscle,"(0, 55)",-0.1746715
218,Neuron,"(0, 55)",-0.1746715
219,Proliferating,"(0, 55)",-0.1746715
220,Epithelial,"(0, 57)",0.588704
221,FatBody,"(0, 57)",1.2415855
222,Follicle,"(0, 57)",-0.15809272
223,Germ,"(0, 57)",0.43506908
224,Gut,"(0, 57)",1.2506663
225,Hemocytes,"(0, 57)",0.9012725
226,MAG,"(0, 57)",-0.54488164
227,MT,"(0, 57)",0.66171616
228,Muscle,"(0, 57)",-0.21394882
229,Neuron,"(0, 57)",-1.0148761
230,Proliferating,"(0, 57)",0.49936867
231,Epithelial,"(0, 60)",-0.0038784752
232,FatBody,"(0, 60)",-7.604922e-05
233,Follicle,"(0, 60)",-0.0038784752
234,Germ,"(0, 60)",-0.0038784752
235,Gut,"(0, 60)",-0.0038784752
236,Hemocytes,"(0, 60)",-0.0038784752
237,MAG,"(0, 60)",-0.0038784752
238,MT,"(0, 60)",-0.0038784752
239,Muscle,"(0, 60)",-0.0038784752
240,Neuron,"(0, 60)",-0.0038784752
241,Proliferating,"(0, 60)",-0.0038784752
242,Epithelial,"(0, 62)",1.4339634
243,FatBody,"(0, 62)",0.026269984
244,Follicle,"(0, 62)",-0.32301375
245,Germ,"(0, 62)",-1.3009255
246,Gut,"(0, 62)",0.7924015
247,Hemocytes,"(0, 62)",0.59267575
248,MAG,"(0, 62)",0.21733749
249,MT,"(0, 62)",0.09283814
250,Muscle,"(0, 62)",-1.1954412
251,Neuron,"(0, 62)",-0.03032229
252,Proliferating,"(0, 62)",-0.2835184
253,Epithelial,"(0, 65)",-0.21138601
254,FatBody,"(0, 65)",1.2447417
255,Follicle,"(0, 65)",0.11108055
256,Germ,"(0, 65)",0.8842972
257,Gut,"(0, 65)",0.8417918
258,Hemocytes,"(0, 65)",0.5448403
259,MAG,"(0, 65)",-0.89426523
260,MT,"(0, 65)",0.53024197
261,Muscle,"(0, 65)",0.22104086
262,Neuron,"(0, 65)",-1.1375085
263,Proliferating,"(0, 65)",0.5627955
264,Epithelial,"(0, 67)",-0.38836953
265,FatBody,"(0, 67)",1.0600162
266,Follicle,"(0, 67)",0.21498767
267,Germ,"(0, 67)",0.7135673
268,Gut,"(0, 67)",0.60237265
269,Hemocytes,"(0, 67)",0.24256553
270,MAG,"(0, 67)",-0.8392522
271,MT,"(0, 67)",0.31088
272,Muscle,"(0, 67)",0.20525725
273,Neuron,"(0, 67)",-1.0787405
274,Proliferating,"(0, 67)",0.53351843
275,Epithelial,"(0, 68)",-0.4453122
276,FatBody,"(0, 68)",1.4188083
277,Follicle,"(0, 68)",0.08272918
278,Germ,"(0, 68)",1.1509386
279,Gut,"(0, 68)",0.81600475
280,Hemocytes,"(0, 68)",0.38161632
281,MAG,"(0, 68)",-0.82942915
282,MT,"(0, 68)",0.62522805
283,Muscle,"(0, 68)",0.4933122
284,Neuron,"(0, 68)",-1.0190738
285,Proliferating,"(0, 68)",0.5181979
286,Epithelial,"(0, 69)",-0.33391988
287,FatBody,"(0, 69)",1.4988025
288,Follicle,"(0, 69)",-0.15724523
289,Germ,"(0, 69)",1.4063458
290,Gut,"(0, 69)",1.2370107
291,Hemocytes,"(0, 69)",0.80269015
292,MAG,"(0, 69)",-0.31816268
293,MT,"(0, 69)",0.81666243
294,Muscle,"(0, 69)",0.16805083
295,Neuron,"(0, 69)",-0.8721139
296,Proliferating,"(0, 69)",0.6702384
297,Epithelial,"(0, 70)",0.24724922
298,FatBody,"(0, 70)",1.1461176
299,Follicle,"(0, 70)",-0.024924254
300,Germ,"(0, 70)",0.90272325
301,Gut,"(0, 70)",1.2282889
302,Hemocytes,"(0, 70)",0.793693
303,MAG,"(0, 70)",-0.08021388
304,MT,"(0, 70)",0.6482362
305,Muscle,"(0, 70)",-0.33390737
306,Neuron,"(0, 70)",-1.3683126
307,Proliferating,"(0, 70)",0.32952556
308,Epithelial,"(0, 72)",-0.41110843
309,FatBody,"(0, 72)",0.3982105
310,Follicle,"(0, 72)",0.408218
311,Germ,"(0, 72)",0.6009617
312,Gut,"(0, 72)",0.23724952
313,Hemocytes,"(0, 72)",0.03029231
314,MAG,"(0, 72)",-0.4273418
315,MT,"(0, 72)",-0.023244435
316,Muscle,"(0, 72)",-0.22329406
317,Neuron,"(0, 72)",-1.3047386
318,Proliferating,"(0, 72)",0.19712542
319,Epithelial,"(0, 73)",0.65650064
320,FatBody,"(0, 73)",0.9554566
321,Follicle,"(0, 73)",-0.22488163
322,Germ,"(0, 73)",0.70289636
323,Gut,"(0, 73)",1.3416913
324,Hemocytes,"(0, 73)",1.0480142
325,MAG,"(0, 73)",0.2523822
326,MT,"(0, 73)",0.5687758
327,Muscle,"(0, 73)",-0.90216434
328,Neuron,"(0, 73)",-1.0311582
329,Proliferating,"(0, 73)",0.17160837
330,Epithelial,"(0, 74)",-1.064539
331,FatBody,"(0, 74)",1.1423922
332,Follicle,"(0, 74)",0.2909616
333,Germ,"(0, 74)",1.3824464
334,Gut,"(0, 74)",0.3274356
335,Hemocytes,"(0, 74)",0.019897224
336,MAG,"(0, 74)",-0.86233574
337,MT,"(0, 74)",0.40629908
338,Muscle,"(0, 74)",0.83233386
339,Neuron,"(0, 74)",-1.0400069
340,Proliferating,"(0, 74)",0.5620371
341,Epithelial,"(0, 75)",-1.317936
342,FatBody,"(0, 75)",1.0632014
343,Follicle,"(0, 75)",0.3367591
344,Germ,"(0, 75)",1.471267
345,Gut,"(0, 75)",0.100448646
346,Hemocytes,"(0, 75)",-0.040798128
347,MAG,"(0, 75)",-0.6058497
348,MT,"(0, 75)",0.3291138
349,Muscle,"(0, 75)",0.9658102
350,Neuron,"(0, 75)",-0.92855096
351,Proliferating,"(0, 75)",0.66526556
352,Epithelial,"(0, 81)",-0.066518106
353,FatBody,"(0, 81)",0.22011739
354,Follicle,"(0, 81)",-0.07288133
355,Germ,"(0, 81)",-0.07288133
356,Gut,"(0, 81)",0.11297621
357,Hemocytes,"(0, 81)",-0.07288133
358,MAG,"(0, 81)",-0.06730484
359,MT,"(0, 81)",-0.06315623
360,Muscle,"(0, 81)",-0.07288133
361,Neuron,"(0, 81)",-0.07288133
362,Proliferating,"(0, 81)",-0.07288133
363,Epithelial,"(0, 85)",-0.13215993
364,FatBody,"(0, 85)",-0.13215993
365,Follicle,"(0, 85)",-0.11836448
366,Germ,"(0, 85)",-0.13215993
367,Gut,"(0, 85)",-0.13215993
368,Hemocytes,"(0, 85)",-0.13215993
369,MAG,"(0, 85)",-0.122778855
370,MT,"(0, 85)",-0.13215993
371,Muscle,"(0, 85)",-0.10095563
372,Neuron,"(0, 85)",0.17284948
373,Proliferating,"(0, 85)",-0.13215993
374,Epithelial,"(0, 86)",-0.345017
375,FatBody,"(0, 86)",0.95887357
376,Follicle,"(0, 86)",0.27104294
377,Germ,"(0, 86)",0.94290084
378,Gut,"(0, 86)",0.63992167
379,Hemocytes,"(0, 86)",0.30030096
380,MAG,"(0, 86)",-0.4968262
381,MT,"(0, 86)",0.3338964
382,Muscle,"(0, 86)",-0.099218085
383,Neuron,"(0, 86)",-1.368379
384,Proliferating,"(0, 86)",0.22310708
385,Epithelial,"(0, 87)",0.09313213
386,FatBody,"(0, 87)",0.53389263
387,Follicle,"(0, 87)",0.19205219
388,Germ,"(0, 87)",0.8642951
389,Gut,"(0, 87)",0.93131876
390,Hemocytes,"(0, 87)",0.8238895
391,MAG,"(0, 87)",0.1824326
392,MT,"(0, 87)",0.28866985
393,Muscle,"(0, 87)",-0.608851
394,Neuron,"(0, 87)",-1.5793793
395,Proliferating,"(0, 87)",0.4800457
396,Epithelial,"(0, 92)",-0.1284495
397,FatBody,"(0, 92)",0.38447598
398,Follicle,"(0, 92)",-0.12708096
399,Germ,"(0, 92)",-0.10529665
400,Gut,"(0, 92)",0.41373503
401,Hemocytes,"(0, 92)",-0.12875643
402,MAG,"(0, 92)",-0.1293576
403,MT,"(0, 92)",-0.038121313
404,Muscle,"(0, 92)",-0.1293576
405,Neuron,"(0, 92)",-0.1291282
406,Proliferating,"(0, 92)",-0.1293576
407,Epithelial,"(0, 95)",0.063154146
408,FatBody,"(0, 95)",0.67059624
409,Follicle,"(0, 95)",0.23097096
410,Germ,"(0, 95)",0.6593181
411,Gut,"(0, 95)",0.8582087
412,Hemocytes,"(0, 95)",0.5329736
413,MAG,"(0, 95)",-0.31667233
414,MT,"(0, 95)",0.24248298
415,Muscle,"(0, 95)",-0.5094665
416,Neuron,"(0, 95)",-1.481459
417,Proliferating,"(0, 95)",0.29332396
418,Epithelial,"(0, 96)",1.4669477
419,FatBody,"(0, 96)",-0.5404418
420,Follicle,"(0, 96)",-0.42123735
421,Germ,"(0, 96)",-1.7301834
422,Gut,"(0, 96)",0.38230547
423,Hemocytes,"(0, 96)",0.33768517
424,MAG,"(0, 96)",0.52090657
425,MT,"(0, 96)",-0.14115497
426,Muscle,"(0, 96)",-1.1302612
427,Neuron,"(0, 96)",0.7647233
428,Proliferating,"(0, 96)",-0.45241526
429,Epithelial,"(0, 97)",1.2407333
430,FatBody,"(0, 97)",0.42650813
431,Follicle,"(0, 97)",-0.41626376
432,Germ,"(0, 97)",-0.8679166
433,Gut,"(0, 97)",0.95572317
434,Hemocytes,"(0, 97)",0.7052838
435,MAG,"(0, 97)",-0.77685654
436,MT,"(0, 97)",0.32370254
437,Muscle,"(0, 97)",-0.55671954
438,Neuron,"(0, 97)",0.32782367
439,Proliferating,"(0, 97)",0.16959368
440,Epithelial,"(0, 100)",-0.609403
441,FatBody,"(0, 100)",1.5755486
442,Follicle,"(0, 100)",-0.03597451
443,Germ,"(0, 100)",1.5672976
444,Gut,"(0, 100)",0.9601993
445,Hemocytes,"(0, 100)",0.53082633
446,MAG,"(0, 100)",-0.40924585
447,MT,"(0, 100)",0.78220683
448,Muscle,"(0, 100)",0.5630192
449,Neuron,"(0, 100)",-0.9383282
450,Proliferating,"(0, 100)",0.6017176
451,Epithelial,"(0, 101)",-0.7951414
452,FatBody,"(0, 101)",0.9169075
453,Follicle,"(0, 101)",0.32683504
454,Germ,"(0, 101)",1.2588698
455,Gut,"(0, 101)",0.46045023
456,Hemocytes,"(0, 101)",0.09063869
457,MAG,"(0, 101)",-0.55960363
458,MT,"(0, 101)",0.25120956
459,Muscle,"(0, 101)",0.38851368
460,Neuron,"(0, 101)",-1.3034219
461,Proliferating,"(0, 101)",0.5129339
462,Epithelial,"(0, 102)",1.4565457
463,FatBody,"(0, 102)",0.24390464
464,Follicle,"(0, 102)",-0.33188814
465,Germ,"(0, 102)",-0.75342476
466,Gut,"(0, 102)",1.0599121
467,Hemocytes,"(0, 102)",0.8591811
468,MAG,"(0, 102)",0.40747258
469,MT,"(0, 102)",0.18192555
470,Muscle,"(0, 102)",-1.352702
471,Neuron,"(0, 102)",-0.3771061
472,Proliferating,"(0, 102)",-0.27089882
473,Epithelial,"(0, 103)",-0.85419303
474,FatBody,"(0, 103)",1.3247242
475,Follicle,"(0, 103)",0.14066033
476,Germ,"(0, 103)",1.5188369
477,Gut,"(0, 103)",0.63847196
478,Hemocytes,"(0, 103)",0.30478385
479,MAG,"(0, 103)",-0.86834174
480,MT,"(0, 103)",0.59849226
481,Muscle,"(0, 103)",0.8129305
482,Neuron,"(0, 103)",-1.0077504
483,Proliferating,"(0, 103)",0.6640324
484,Epithelial,"(0, 104)",-0.34869805
485,FatBody,"(0, 104)",1.2189262
486,Follicle,"(0, 104)",0.17489606
487,Germ,"(0, 104)",1.1381463
488,Gut,"(0, 104)",0.85731876
489,Hemocytes,"(0, 104)",0.3441503
490,MAG,"(0, 104)",-0.6285212
491,MT,"(0, 104)",0.5801861
492,Muscle,"(0, 104)",0.26371107
493,Neuron,"(0, 104)",-1.3614547
494,Proliferating,"(0, 104)",0.45768502
495,Epithelial,"(0, 106)",0.80831426
496,FatBody,"(0, 106)",-0.48263237
497,Follicle,"(0, 106)",-0.38636947
498,Germ,"(0, 106)",-0.48717332
499,Gut,"(0, 106)",-0.17870606
500,Hemocytes,"(0, 106)",-0.34148952
501,MAG,"(0, 106)",0.15171276
502,MT,"(0, 106)",-0.26894516
503,Muscle,"(0, 106)",-0.4257034
504,Neuron,"(0, 106)",0.91632104
505,Proliferating,"(0, 106)",-0.39690876
506,Epithelial,"(0, 108)",-0.6634431
507,FatBody,"(0, 108)",1.249902
508,Follicle,"(0, 108)",0.20356578
509,Germ,"(0, 108)",1.349439
510,Gut,"(0, 108)",0.7977369
511,Hemocytes,"(0, 108)",0.526445
512,MAG,"(0, 108)",-0.50838846
513,MT,"(0, 108)",0.5811757
514,Muscle,"(0, 108)",0.40915766
515,Neuron,"(0, 108)",-1.4056467
516,Proliferating,"(0, 108)",0.62180877
517,Epithelial,"(0, 110)",-0.45766547
518,FatBody,"(0, 110)",1.1907089
519,Follicle,"(0, 110)",0.16763881
520,Germ,"(0, 110)",1.3331827
521,Gut,"(0, 110)",0.90368634
522,Hemocytes,"(0, 110)",0.49360344
523,MAG,"(0, 110)",-0.43759668
524,MT,"(0, 110)",0.5376146
525,Muscle,"(0, 110)",0.20037006
526,Neuron,"(0, 110)",-1.4262408
527,Proliferating,"(0, 110)",0.5368931
528,Epithelial,"(0, 114)",1.4611028
529,FatBody,"(0, 114)",0.28868547
530,Follicle,"(0, 114)",-0.5184336
531,Germ,"(0, 114)",-1.2317545
532,Gut,"(0, 114)",0.8925938
533,Hemocytes,"(0, 114)",0.5595724
534,MAG,"(0, 114)",0.37277523
535,MT,"(0, 114)",0.24127097
536,Muscle,"(0, 114)",-0.92189395
537,Neuron,"(0, 114)",0.43878147
538,Proliferating,"(0, 114)",-0.19763926
539,Epithelial,"(0, 115)",-0.031758353
540,FatBody,"(0, 115)",0.028687634
541,Follicle,"(0, 115)",-0.03273563
542,Germ,"(0, 115)",-0.03273563
543,Gut,"(0, 115)",0.0050693876
544,Hemocytes,"(0, 115)",-0.03273563
545,MAG,"(0, 115)",-0.03273563
546,MT,"(0, 115)",-0.03273563
547,Muscle,"(0, 115)",-0.03273563
548,Neuron,"(0, 115)",-0.03273563
549,Proliferating,"(0, 115)",-0.03273563
550,Epithelial,"(0, 116)",1.0277787
551,FatBody,"(0, 116)",0.035375204
552,Follicle,"(0, 116)",-0.44115174
553,Germ,"(0, 116)",-1.2371978
554,Gut,"(0, 116)",0.32258418
555,Hemocytes,"(0, 116)",-0.23241766
556,MAG,"(0, 116)",-0.8387231
557,MT,"(0, 116)",0.009543422
558,Muscle,"(0, 116)",-0.06914818
559,Neuron,"(0, 116)",1.3004539
560,Proliferating,"(0, 116)",-0.061166547
561,Epithelial,"(0, 119)",0.42526484
562,FatBody,"(0, 119)",0.87681216
563,Follicle,"(0, 119)",0.0029674643
564,Germ,"(0, 119)",0.15681382
565,Gut,"(0, 119)",0.95354074
566,Hemocytes,"(0, 119)",0.61687726
567,MAG,"(0, 119)",-0.9510845
568,MT,"(0, 119)",0.39656568
569,Muscle,"(0, 119)",-0.24438734
570,Neuron,"(0, 119)",-0.90943205
571,Proliferating,"(0, 119)",0.47410655
572,Epithelial,"(0, 121)",1.4582009
573,FatBody,"(0, 121)",0.14680058
574,Follicle,"(0, 121)",-0.4249034
575,Germ,"(0, 121)",-1.2478468
576,Gut,"(0, 121)",0.90760964
577,Hemocytes,"(0, 121)",0.565029
578,MAG,"(0, 121)",0.27198523
579,MT,"(0, 121)",0.17148554
580,Muscle,"(0, 121)",-1.0800643
581,Neuron,"(0, 121)",0.17137927
582,Proliferating,"(0, 121)",-0.18982226
583,Epithelial,"(0, 123)",0.0045425207
584,FatBody,"(0, 123)",0.31389537
585,Follicle,"(0, 123)",0.05024587
586,Germ,"(0, 123)",-0.53938
587,Gut,"(0, 123)",0.038002543
588,Hemocytes,"(0, 123)",-0.47712404
589,MAG,"(0, 123)",-1.4459103
590,MT,"(0, 123)",-0.14853318
591,Muscle,"(0, 123)",0.3991453
592,Neuron,"(0, 123)",0.43209305
593,Proliferating,"(0, 123)",0.2602612
594,Epithelial,"(0, 126)",-0.15657969
595,FatBody,"(0, 126)",0.43360373
596,Follicle,"(0, 126)",-0.19724359
597,Germ,"(0, 126)",-0.15277472
598,Gut,"(0, 126)",0.8883766
599,Hemocytes,"(0, 126)",-0.1243428
600,MAG,"(0, 126)",-0.1652899
601,MT,"(0, 126)",0.06934221
602,Muscle,"(0, 126)",-0.19722211
603,Neuron,"(0, 126)",-0.19675426
604,Proliferating,"(0, 126)",-0.19735946
605,Epithelial,"(1, 2)",-0.836967
606,FatBody,"(1, 2)",1.0778017
607,Follicle,"(1, 2)",0.16002057
608,Germ,"(1, 2)",1.8062007
609,Gut,"(1, 2)",-0.157411
610,Hemocytes,"(1, 2)",-0.1493483
611,MAG,"(1, 2)",-0.74678904
612,MT,"(1, 2)",0.44352412
613,Muscle,"(1, 2)",1.0739388
614,Neuron,"(1, 2)",-0.7094381
615,Proliferating,"(1, 2)",0.22878295
616,Epithelial,"(1, 3)",-0.3590139
617,FatBody,"(1, 3)",1.5896441
618,Follicle,"(1, 3)",-0.0828777
619,Germ,"(1, 3)",1.3798681
620,Gut,"(1, 3)",0.85061216
