,type,eta
0,eta,0.8446227713708531
1,eta,0.7285787317067812
2,eta,0.45422858024580753
3,eta,0.0
4,eta,0.7770457990938666
5,eta,0.71651443350732
6,eta,0.9209177645216642
7,eta,0.7869137626831499
8,eta,0.7197126263079813
9,eta,0.7718804014228587
10,eta,0.88984542901204
11,eta,0.7953071963446933
12,eta,0.0
13,eta,0.7828841186712788
14,eta,0.7376086779859684
15,eta,0.7562866257573087
16,eta,0.7846829281493272
17,eta,0.7313266041860463
18,eta,0.6559928290148574
19,eta,0.2906895597050725
20,eta,0.8634036731504762
21,eta,0.7763533688074771
22,eta,0.7738702499711918
23,eta,0.0
24,eta,0.7524982682946946
25,eta,0.7795062693806847
26,eta,0.7836476538466066
27,eta,0.7935824273854688
28,eta,0.2980362131222134
29,eta,0.6553607971869266
30,eta,0.525579897360675
31,eta,0.7772274993763715
32,eta,0.0
33,eta,0.0
34,eta,0.6003794279384648
35,eta,0.8493240226591426
36,eta,0.7573069077019284
37,eta,0.7000279845286155
38,eta,0.7048496944903601
39,eta,0.73621664573929
40,eta,0.8045729053285997
41,eta,0.7602012004128352
42,eta,0.45499005407979043
43,eta,0.7204139945562544
44,eta,0.7920173431289638
45,eta,0.7930631130988295
46,eta,0.852252314418631
47,eta,0.0
48,eta,0.6980367685019099
49,eta,0.8899377423707022
50,eta,0.8361480197583665
51,eta,0.7220886084532316
52,eta,0.7104457580775783
53,eta,0.7623469870917525
54,eta,0.8936956530030884
55,eta,0.7106113107284944
56,eta,0.7424624779610958
57,eta,0.8624376693158288
58,eta,0.8038199927416388
59,eta,0.7383037230372328
60,eta,0.7632794133313351
61,eta,0.7693036824361802
62,eta,0.7296625419449019
63,eta,0.8752567993309441
64,eta,0.87124324605599
65,eta,0.8632297660018926
66,eta,0.7850720786363483
67,eta,0.8793186745507137
68,eta,0.8379100836325188
69,eta,0.8311596475666715
70,eta,0.8095830046777717
71,eta,0.0
72,eta,0.759529464934192
73,eta,0.9230489719380026
74,eta,0.8063524384043971
75,eta,0.7015945535747128
76,eta,0.8558723216784342
77,eta,0.8596566590820129
78,eta,0.7159950989454855
79,eta,0.7825934405868038
80,eta,0.8131331924152944
81,eta,0.3795809408881766
82,eta,0.796939905642778
83,eta,0.7540353784579163
84,eta,0.7615500987801967
85,eta,0.805060226634966
86,eta,0.0
87,eta,0.7589306779501567
88,eta,0.8622786868625378
89,eta,0.5038951430417543
90,eta,0.7683047070658127
91,eta,0.8064015448290683
92,eta,0.7727933046177011
93,eta,0.7506670653738899
94,eta,0.6989579131021513
95,eta,0.917110314805178
96,eta,0.8381801829015483
97,eta,0.7623773197786247
98,eta,0.7679461590955471
99,eta,0.8566295738438949
100,eta,0.8845751323919062
101,eta,0.7138496711854029
102,eta,0.8605826888533501
103,eta,0.8342261085100672
104,eta,0.7015516757725093
105,eta,0.7405602494839917
106,eta,0.8708621596012468
107,eta,0.6086600113872486
108,eta,0.9053306421187953
109,eta,0.7530619341713259
110,eta,0.6285403853449454
111,eta,0.6842201229637594
112,eta,0.7415393152057675
113,eta,0.7766783365102264
114,eta,0.7360675769982292
115,eta,0.0
116,eta,0.7172939201969746
117,eta,0.7324065859894355
118,eta,0.0
119,eta,0.7061046205001162
120,eta,0.7097693138860616
121,eta,0.7525171164915939
122,eta,0.896858017731622
123,eta,0.854935662542011
124,eta,0.867680128714855
125,eta,0.8441641323683745
126,eta,0.8497029826438983
127,eta,0.8637019925791803
128,eta_comb,0.9346145858850031
129,eta_comb,0.9322157306434976
130,eta_comb,0.9322154926966071
131,eta_comb,0.9566493782262709
132,eta_comb,0.959998307918163
133,eta_comb,0.9602409334584824
134,eta_comb,0.9671600359043105
135,eta_comb,0.9442615115029293
136,eta_comb,0.7896801154076172
137,eta_comb,0.9399397978857076
138,eta_comb,0.9321500959498503
139,eta_comb,0.9322155004735654
140,eta_comb,0.9515600350580492
141,eta_comb,0.9445498736179097
142,eta_comb,0.8858680466483273
143,eta_comb,0.919801563111148
144,eta_comb,0.9083283256114064
145,eta_comb,0.9311758743908356
146,eta_comb,0.9280103935533406
147,eta_comb,0.9159052459477187
148,eta_comb,0.9507484816692163
149,eta_comb,0.9204246095792042
150,eta_comb,0.9322154926966071
151,eta_comb,0.9659764395524746
152,eta_comb,0.930610282605972
153,eta_comb,0.9375269744305367
154,eta_comb,0.9194092729677501
155,eta_comb,0.9322152788633398
156,eta_comb,0.9378856655243006
157,eta_comb,0.9368448198541741
158,eta_comb,0.9005340655930808
159,eta_comb,0.9322154926966071
160,eta_comb,0.9322154697751649
161,eta_comb,0.9428939194841455
162,eta_comb,0.9334448843072215
163,eta_comb,0.9574292897924711
164,eta_comb,0.9331688407145439
165,eta_comb,0.9322102544660097
166,eta_comb,0.6802001089660364
167,eta_comb,0.9363231565479629
168,eta_comb,0.8516985417559826
169,eta_comb,0.9403617793225805
170,eta_comb,0.8691446110303636
171,eta_comb,0.9124852268905299
172,eta_comb,0.9006466836878878
173,eta_comb,0.9448233025503939
174,eta_comb,0.9322155334074891
175,eta_comb,0.9578999802662757
176,eta_comb,0.9513465693139248
177,eta_comb,0.8652455366247656
178,eta_comb,0.4272378830134999
179,eta_comb,0.9280576785447648
180,eta_comb,0.6991327210494513
181,eta_comb,0.9560951741480205
182,eta_comb,0.9393413826625066
183,eta_comb,0.8671382731408493
184,eta_comb,0.9357416081944296
185,eta_comb,0.932176413328713
186,eta_comb,0.9208756552494197
187,eta_comb,0.8591238180916512
188,eta_comb,0.9321797547580761
189,eta_comb,0.9382656395975201
190,eta_comb,0.9432799635775784
191,eta_comb,0.9572283589305611
192,eta_comb,0.9329511865124679
193,eta_comb,0.9031836267373295
194,eta_comb,0.9428615509947406
195,eta_comb,0.9408160867370291
196,eta_comb,0.9270361703573625
197,eta_comb,0.5673238083737263
198,eta_comb,0.9322154926966071
199,eta_comb,0.8712406479344306
200,eta_comb,0.9319183312523335
201,eta_comb,0.9015304346748892
202,eta_comb,0.9470539542169875
203,eta_comb,0.9272315395381158
204,eta_comb,0.6709479433390747
205,eta_comb,0.9592473493005346
206,eta_comb,0.8868430099826524
207,eta_comb,0.921627884986519
208,eta_comb,0.9354153526328385
209,eta_comb,0.9133563381358468
210,eta_comb,0.6584870061125446
211,eta_comb,0.8948806470464712
212,eta_comb,0.932308071834675
213,eta_comb,0.9322154926966071
214,eta_comb,0.9383069947882713
215,eta_comb,0.8551485117392126
216,eta_comb,0.9322155806687634
217,eta_comb,0.9581068765727684
218,eta_comb,0.9293447400624186
219,eta_comb,0.881792551271743
220,eta_comb,0.9415763491033787
221,eta_comb,0.8981377984002804
222,eta_comb,0.950296240300351
223,eta_comb,0.9284842750783632
224,eta_comb,0.8782174328238078
225,eta_comb,0.731521954199548
226,eta_comb,0.945129328493215
227,eta_comb,0.959927349759466
228,eta_comb,0.9216510500452161
229,eta_comb,0.951770813594669
230,eta_comb,0.9271714108005794
231,eta_comb,0.9354587673263381
232,eta_comb,0.7395034691198372
233,eta_comb,0.9380135603512352
234,eta_comb,0.9322155947479078
235,eta_comb,0.9542783738706581
236,eta_comb,0.8555683035042034
237,eta_comb,0.9322825205428138
238,eta_comb,0.9187333210825206
239,eta_comb,0.5315311860702472
240,eta_comb,0.9704003734193859
241,eta_comb,0.9200938806257228
242,eta_comb,0.9322155322324092
243,eta_comb,0.9592618124604163
244,eta_comb,0.9212884617470952
245,eta_comb,0.9322155105652302
246,eta_comb,0.9396325153797823
247,eta_comb,0.9613397971117636
248,eta_comb,0.903072075605477
249,eta_comb,0.9541993679400129
250,eta_comb,0.9632663150706966
251,eta_comb,0.8553298262974971
252,eta_comb,0.7812062517839814
253,eta_comb,0.940827838205438
254,eta_comb,0.9403083672199685
255,eta_comb,0.9603791662044375
256,eta_comb,0.9603823089174998
257,eta_comb,0.8953670733210773
258,eta_comb,0.5509080308876692
259,eta_comb,0.9675473037141312
260,eta_comb,0.8953516343949252
261,eta_comb,0.5790799940063992
