,Species,Cluster,Motif,Influe
19158,Human,Secretory,"(33, 83)",0.7476304
19163,Human,Germ,"(33, 84)",0.99830395
19164,Human,Immune,"(33, 84)",0.5901781
19172,Human,Erythroid,"(33, 85)",1.0548137
19173,Human,Germ,"(33, 85)",1.1640553
19188,Human,Secretory,"(33, 86)",0.840916
19192,Human,Erythroid,"(33, 87)",0.5674212
19193,Human,Germ,"(33, 87)",1.150596
19196,Human,Neuron,"(33, 87)",0.5020621
19202,Human,Erythroid,"(33, 88)",1.3468829
19203,Human,Germ,"(33, 88)",1.0679523000000002
19212,Human,Erythroid,"(33, 89)",1.5939568000000002
19222,Human,Erythroid,"(33, 90)",1.6323155
19230,Human,Endothelial,"(33, 91)",0.6808427
19233,Human,Germ,"(33, 91)",0.65329933
19235,Human,Muscle,"(33, 91)",1.1351243999999998
19236,Human,Neuron,"(33, 91)",0.6135438
19239,Human,Stromal,"(33, 91)",0.6909123
19243,Human,Germ,"(33, 92)",1.3084563999999999
19248,Human,Secretory,"(33, 92)",0.59178805
19252,Human,Erythroid,"(33, 93)",1.3544153
19253,Human,Germ,"(33, 93)",0.97343326
19263,Human,Germ,"(33, 94)",1.1490352
19269,Human,Stromal,"(33, 94)",0.6147858
19272,Human,Erythroid,"(33, 95)",1.6844789
19282,Human,Erythroid,"(33, 96)",0.9318832
19283,Human,Germ,"(33, 96)",0.9694629000000001
19290,Human,Endothelial,"(33, 97)",0.59644246
19295,Human,Muscle,"(33, 97)",0.80522394
19296,Human,Neuron,"(33, 97)",0.5582347
19299,Human,Stromal,"(33, 97)",0.8728154
19302,Human,Erythroid,"(33, 98)",1.3269360000000001
19307,Human,Proliferating,"(33, 98)",0.50108683
19312,Human,Erythroid,"(33, 99)",1.3146703000000002
19313,Human,Germ,"(33, 99)",1.0321373
19323,Human,Germ,"(33, 100)",0.5077687
19326,Human,Neuron,"(33, 100)",0.5392775
19333,Human,Germ,"(33, 101)",0.8566446
19335,Human,Muscle,"(33, 101)",1.0784655
19336,Human,Neuron,"(33, 101)",1.0743406
19337,Human,Proliferating,"(33, 101)",0.55594623
19338,Human,Secretory,"(33, 101)",0.8560851999999999
19342,Human,Erythroid,"(33, 102)",1.3828245000000001
19347,Human,Proliferating,"(33, 102)",0.52490854
19353,Human,Germ,"(33, 103)",1.2907577
19356,Human,Neuron,"(33, 103)",0.5425291999999999
19358,Human,Secretory,"(33, 103)",0.80716103
19359,Human,Stromal,"(33, 103)",0.6022
19362,Human,Erythroid,"(33, 104)",1.5062606
19367,Human,Proliferating,"(33, 104)",0.5488445
19372,Human,Erythroid,"(33, 105)",1.0071853000000002
19373,Human,Germ,"(33, 105)",1.0410081
19380,Human,Endothelial,"(33, 106)",0.76519823
19383,Human,Germ,"(33, 106)",0.57035685
19385,Human,Muscle,"(33, 106)",1.1317848
19386,Human,Neuron,"(33, 106)",0.69580644
19388,Human,Secretory,"(33, 106)",0.5079975999999999
19389,Human,Stromal,"(33, 106)",0.76479906
19392,Human,Erythroid,"(33, 107)",1.5603664
19393,Human,Germ,"(33, 107)",0.68251455
19402,Human,Erythroid,"(33, 108)",0.5543376999999999
19403,Human,Germ,"(33, 108)",1.0548459
19412,Human,Erythroid,"(33, 109)",0.8823216
19417,Human,Proliferating,"(33, 109)",0.62641555
19422,Human,Erythroid,"(33, 110)",1.2004544
19423,Human,Germ,"(33, 110)",0.81835294
19426,Human,Neuron,"(33, 110)",0.61791134
19427,Human,Proliferating,"(33, 110)",0.6195013
19432,Human,Erythroid,"(33, 111)",0.6214369000000001
19433,Human,Germ,"(33, 111)",1.1009763000000001
19436,Human,Neuron,"(33, 111)",0.6885687
19437,Human,Proliferating,"(33, 111)",0.62469965
19442,Human,Erythroid,"(33, 112)",1.0200331
19443,Human,Germ,"(33, 112)",1.0925325000000001
19453,Human,Germ,"(33, 113)",1.2554656000000002
19459,Human,Stromal,"(33, 113)",0.6684628
19462,Human,Erythroid,"(33, 114)",0.7676022
19463,Human,Germ,"(33, 114)",1.2259715
19466,Human,Neuron,"(33, 114)",0.6751648
19467,Human,Proliferating,"(33, 114)",0.63936824
19474,Human,Immune,"(33, 115)",0.7419108
19482,Human,Erythroid,"(33, 116)",1.452129
19493,Human,Germ,"(33, 117)",1.5859361
19502,Human,Erythroid,"(33, 118)",0.8997154
19503,Human,Germ,"(33, 118)",0.91331303
19505,Human,Muscle,"(33, 118)",0.5314211999999999
19506,Human,Neuron,"(33, 118)",0.7541296
19507,Human,Proliferating,"(33, 118)",0.600069
19512,Human,Erythroid,"(33, 119)",1.01375
19513,Human,Germ,"(33, 119)",1.0321257
19532,Human,Erythroid,"(33, 121)",1.523834
19533,Human,Germ,"(33, 121)",0.80107176
19542,Human,Erythroid,"(33, 122)",0.8291685999999999
19543,Human,Germ,"(33, 122)",0.8439098
19554,Human,Immune,"(33, 123)",0.59301436
19563,Human,Germ,"(33, 124)",1.4000378999999998
19568,Human,Secretory,"(33, 124)",0.6158298000000001
19569,Human,Stromal,"(33, 124)",0.50524503
19572,Human,Erythroid,"(33, 126)",1.4868270000000001
19573,Human,Germ,"(33, 126)",0.96746224
19582,Human,Erythroid,"(33, 127)",0.6597103
19583,Human,Germ,"(33, 127)",1.1572008999999999
19585,Human,Muscle,"(33, 127)",0.50030583
19586,Human,Neuron,"(33, 127)",0.61422324
19587,Human,Proliferating,"(33, 127)",0.5969626
19590,Human,Endothelial,"(34, 35)",0.66137236
19593,Human,Germ,"(34, 35)",0.9592716
19598,Human,Secretory,"(34, 35)",0.94019234
19600,Human,Endothelial,"(34, 36)",0.7570383
19603,Human,Germ,"(34, 36)",0.92198116
19606,Human,Neuron,"(34, 36)",0.59435856
19608,Human,Secretory,"(34, 36)",1.01263
19610,Human,Endothelial,"(34, 37)",0.74413043
19618,Human,Secretory,"(34, 37)",0.91606027
19620,Human,Endothelial,"(34, 38)",0.5526218
19623,Human,Germ,"(34, 38)",1.2174287
19626,Human,Neuron,"(34, 38)",0.5079140999999999
19628,Human,Secretory,"(34, 38)",0.9095044
19629,Human,Stromal,"(34, 38)",0.56291807
19630,Human,Endothelial,"(34, 39)",0.53145504
19638,Human,Secretory,"(34, 39)",1.0095394
19643,Human,Germ,"(34, 40)",1.4848638
19646,Human,Neuron,"(34, 40)",0.671841
19648,Human,Secretory,"(34, 40)",0.9463853999999999
19650,Human,Endothelial,"(34, 41)",0.6729445
19653,Human,Germ,"(34, 41)",0.8916606
19658,Human,Secretory,"(34, 41)",0.7308505
19659,Human,Stromal,"(34, 41)",0.6358733
19660,Human,Endothelial,"(34, 42)",0.7186933000000001
19668,Human,Secretory,"(34, 42)",0.8102889
19669,Human,Stromal,"(34, 42)",0.554172
19670,Human,Endothelial,"(34, 43)",0.73253983
19673,Human,Germ,"(34, 43)",0.69003975
19678,Human,Secretory,"(34, 43)",0.8143833
19680,Human,Endothelial,"(34, 45)",0.6342392
19683,Human,Germ,"(34, 45)",0.68023497
19688,Human,Secretory,"(34, 45)",0.9051728000000001
19693,Human,Germ,"(34, 46)",0.90135896
19698,Human,Secretory,"(34, 46)",0.96139723
19700,Human,Endothelial,"(34, 47)",0.7492031
19703,Human,Germ,"(34, 47)",0.7958875
19705,Human,Muscle,"(34, 47)",0.51151866
19708,Human,Secretory,"(34, 47)",0.90433455
19709,Human,Stromal,"(34, 47)",0.53886575
19710,Human,Endothelial,"(34, 48)",0.72173387
19713,Human,Germ,"(34, 48)",0.8747598
19716,Human,Neuron,"(34, 48)",0.6139989
19718,Human,Secretory,"(34, 48)",0.99998546
19720,Human,Endothelial,"(34, 50)",0.7295881999999999
19723,Human,Germ,"(34, 50)",0.6852835
19726,Human,Neuron,"(34, 50)",0.5694816999999999
19728,Human,Secretory,"(34, 50)",0.94279516
19729,Human,Stromal,"(34, 50)",0.53208345
19730,Human,Endothelial,"(34, 51)",0.71081483
19733,Human,Germ,"(34, 51)",0.9112379
19736,Human,Neuron,"(34, 51)",0.5473081
19738,Human,Secretory,"(34, 51)",0.9641171999999999
19739,Human,Stromal,"(34, 51)",0.53118426
19743,Human,Germ,"(34, 52)",0.8946603999999999
19748,Human,Secretory,"(34, 52)",1.0433218
19750,Human,Endothelial,"(34, 53)",0.6598371999999999
19753,Human,Germ,"(34, 53)",0.80917
19756,Human,Neuron,"(34, 53)",0.60390645
19758,Human,Secretory,"(34, 53)",1.055458
19760,Human,Endothelial,"(34, 54)",0.68930155
19763,Human,Germ,"(34, 54)",0.795262
19768,Human,Secretory,"(34, 54)",0.9094325999999999
19769,Human,Stromal,"(34, 54)",0.5424803
19770,Human,Endothelial,"(34, 55)",0.7287117
19773,Human,Germ,"(34, 55)",0.6388299
19776,Human,Neuron,"(34, 55)",0.56753683
19778,Human,Secretory,"(34, 55)",0.9500504999999999
19780,Human,Endothelial,"(34, 56)",0.7053208000000001
19783,Human,Germ,"(34, 56)",0.6730203
19788,Human,Secretory,"(34, 56)",0.7625599000000001
19790,Human,Endothelial,"(34, 57)",0.6914365
19793,Human,Germ,"(34, 57)",0.82230145
19798,Human,Secretory,"(34, 57)",0.7991483
19799,Human,Stromal,"(34, 57)",0.50917095
19800,Human,Endothelial,"(34, 58)",0.674205
19805,Human,Muscle,"(34, 58)",0.61791563
19806,Human,Neuron,"(34, 58)",1.0227468000000002
19808,Human,Secretory,"(34, 58)",1.0004701999999999
19810,Human,Endothelial,"(34, 59)",0.6493203000000001
19813,Human,Germ,"(34, 59)",1.2143046
19818,Human,Secretory,"(34, 59)",0.93346745
19819,Human,Stromal,"(34, 59)",0.51614106
19820,Human,Endothelial,"(34, 60)",0.7215829
19828,Human,Secretory,"(34, 60)",0.8381783000000002
19830,Human,Endothelial,"(34, 61)",0.7281036
19835,Human,Muscle,"(34, 61)",0.53539675
19836,Human,Neuron,"(34, 61)",0.6999196999999999
19838,Human,Secretory,"(34, 61)",0.87694955
19839,Human,Stromal,"(34, 61)",0.57900256
19840,Human,Endothelial,"(34, 62)",0.5111064000000001
19843,Human,Germ,"(34, 62)",1.367283
19846,Human,Neuron,"(34, 62)",0.5437116
19848,Human,Secretory,"(34, 62)",0.98762065
19850,Human,Endothelial,"(34, 63)",0.73566467
19858,Human,Secretory,"(34, 63)",0.7557552
19860,Human,Endothelial,"(34, 64)",0.7621018
19863,Human,Germ,"(34, 64)",0.7094497
19868,Human,Secretory,"(34, 64)",0.8981984000000001
19869,Human,Stromal,"(34, 64)",0.5253047
19870,Human,Endothelial,"(34, 65)",0.76006645
19873,Human,Germ,"(34, 65)",0.87524927
19878,Human,Secretory,"(34, 65)",0.9984616
19880,Human,Endothelial,"(34, 66)",0.64563346
19888,Human,Secretory,"(34, 66)",1.0046737
19890,Human,Endothelial,"(34, 67)",0.6838491999999999
19896,Human,Neuron,"(34, 67)",0.547449
19898,Human,Secretory,"(34, 67)",0.74760544
19899,Human,Stromal,"(34, 67)",0.6428102
19900,Human,Endothelial,"(34, 68)",0.756499
19903,Human,Germ,"(34, 68)",1.003227
19906,Human,Neuron,"(34, 68)",0.57244325
19908,Human,Secretory,"(34, 68)",1.022979
19910,Human,Endothelial,"(34, 69)",0.6629514
19913,Human,Germ,"(34, 69)",1.0832681999999998
19918,Human,Secretory,"(34, 69)",0.9021155999999999
19919,Human,Stromal,"(34, 69)",0.57066524
19920,Human,Endothelial,"(34, 70)",0.65094554
19923,Human,Germ,"(34, 70)",0.92077297
19925,Human,Muscle,"(34, 70)",0.54177225
19926,Human,Neuron,"(34, 70)",0.9151115
19928,Human,Secretory,"(34, 70)",1.1756365
19930,Human,Endothelial,"(34, 71)",0.7167131999999999
19938,Human,Secretory,"(34, 71)",0.7401241999999999
19940,Human,Endothelial,"(34, 72)",0.5616643
19948,Human,Secretory,"(34, 72)",1.0056425
19950,Human,Endothelial,"(34, 73)",0.73492926
19953,Human,Germ,"(34, 73)",0.7740551999999999
19955,Human,Muscle,"(34, 73)",0.54035854
19956,Human,Neuron,"(34, 73)",0.52171
19958,Human,Secretory,"(34, 73)",0.88762623
19959,Human,Stromal,"(34, 73)",0.58042777
19960,Human,Endothelial,"(34, 74)",0.6882338000000001
19963,Human,Germ,"(34, 74)",0.91991836
19966,Human,Neuron,"(34, 74)",0.54169565
19968,Human,Secretory,"(34, 74)",0.97473437
19969,Human,Stromal,"(34, 74)",0.5023036
19970,Human,Endothelial,"(34, 75)",0.72820866
19973,Human,Germ,"(34, 75)",0.69422126
19978,Human,Secretory,"(34, 75)",0.83507276
19979,Human,Stromal,"(34, 75)",0.5267736
19980,Human,Endothelial,"(34, 76)",0.695696
19983,Human,Germ,"(34, 76)",0.91427433
19988,Human,Secretory,"(34, 76)",0.9223869
19989,Human,Stromal,"(34, 76)",0.52178156
19990,Human,Endothelial,"(34, 77)",0.6936107
19993,Human,Germ,"(34, 77)",0.9646600000000001
19995,Human,Muscle,"(34, 77)",0.5151291
19996,Human,Neuron,"(34, 77)",0.5469889
19998,Human,Secretory,"(34, 77)",0.9153277
19999,Human,Stromal,"(34, 77)",0.58332115
20000,Human,Endothelial,"(34, 78)",0.59903276
20003,Human,Germ,"(34, 78)",1.1902218
20005,Human,Muscle,"(34, 78)",0.5223233
20006,Human,Neuron,"(34, 78)",0.56877506
20008,Human,Secretory,"(34, 78)",0.8629385
20009,Human,Stromal,"(34, 78)",0.5980068000000001
20010,Human,Endothelial,"(34, 79)",0.6702686
20013,Human,Germ,"(34, 79)",0.87979776
20016,Human,Neuron,"(34, 79)",0.53118646
20018,Human,Secretory,"(34, 79)",0.9831218
20020,Human,Endothelial,"(34, 80)",0.7305432
20023,Human,Germ,"(34, 80)",0.7181557
20028,Human,Secretory,"(34, 80)",0.86167336
20030,Human,Endothelial,"(34, 82)",0.8382185
20033,Human,Germ,"(34, 82)",0.5547337
20038,Human,Secretory,"(34, 82)",0.80009294
20039,Human,Stromal,"(34, 82)",0.5005255
20040,Human,Endothelial,"(34, 83)",0.68632096
20043,Human,Germ,"(34, 83)",0.9055181999999999
20048,Human,Secretory,"(34, 83)",0.88074774
20050,Human,Endothelial,"(34, 84)",0.6589493000000001
20053,Human,Germ,"(34, 84)",0.6325985
20058,Human,Secretory,"(34, 84)",0.7278892
20060,Human,Endothelial,"(34, 85)",0.61859864
20063,Human,Germ,"(34, 85)",0.9348673000000001
20068,Human,Secretory,"(34, 85)",0.8179621
20069,Human,Stromal,"(34, 85)",0.51642907
20080,Human,Endothelial,"(34, 87)",0.7103746
20083,Human,Germ,"(34, 87)",0.9387768
20085,Human,Muscle,"(34, 87)",0.5058505
20088,Human,Secretory,"(34, 87)",0.9066354999999999
20089,Human,Stromal,"(34, 87)",0.56084794
20090,Human,Endothelial,"(34, 88)",0.7088711
20093,Human,Germ,"(34, 88)",0.9151357
20098,Human,Secretory,"(34, 88)",0.87212706
20099,Human,Stromal,"(34, 88)",0.5351347
20100,Human,Endothelial,"(34, 89)",0.7078128
20103,Human,Germ,"(34, 89)",0.8197211999999999
20108,Human,Secretory,"(34, 89)",0.8077496999999999
20109,Human,Stromal,"(34, 89)",0.6754325
20110,Human,Endothelial,"(34, 90)",0.74316496
20113,Human,Germ,"(34, 90)",0.64929676
20115,Human,Muscle,"(34, 90)",0.57689214
20116,Human,Neuron,"(34, 90)",0.75354934
20118,Human,Secretory,"(34, 90)",0.9407851999999999
20119,Human,Stromal,"(34, 90)",0.5524416
20130,Human,Endothelial,"(34, 92)",0.59200346
20133,Human,Germ,"(34, 92)",1.1640786
20138,Human,Secretory,"(34, 92)",0.92555785
20139,Human,Stromal,"(34, 92)",0.55552065
20140,Human,Endothelial,"(34, 93)",0.5125658
20143,Human,Germ,"(34, 93)",1.3324364
20148,Human,Secretory,"(34, 93)",0.8891457
20149,Human,Stromal,"(34, 93)",0.5274446
20150,Human,Endothelial,"(34, 94)",0.61486596
20153,Human,Germ,"(34, 94)",0.9093441999999999
20158,Human,Secretory,"(34, 94)",0.78509086
20159,Human,Stromal,"(34, 94)",0.6288621999999999
20160,Human,Endothelial,"(34, 95)",0.7131732
20163,Human,Germ,"(34, 95)",0.9980841
20168,Human,Secretory,"(34, 95)",0.9114059999999999
20169,Human,Stromal,"(34, 95)",0.5441956
20170,Human,Endothelial,"(34, 96)",0.6750069000000001
20173,Human,Germ,"(34, 96)",1.0213606
20178,Human,Secretory,"(34, 96)",0.85074115
20179,Human,Stromal,"(34, 96)",0.6077894
20180,Human,Endothelial,"(34, 97)",0.72218084
20188,Human,Secretory,"(34, 97)",0.7702753999999999
20189,Human,Stromal,"(34, 97)",0.52196825
20190,Human,Endothelial,"(34, 98)",0.66940695
20193,Human,Germ,"(34, 98)",0.7534653
20198,Human,Secretory,"(34, 98)",0.9452914000000001
20200,Human,Endothelial,"(34, 99)",0.57806486
20203,Human,Germ,"(34, 99)",1.0782005
20208,Human,Secretory,"(34, 99)",0.8380131
20209,Human,Stromal,"(34, 99)",0.54969966
20220,Human,Endothelial,"(34, 102)",0.7062743
20228,Human,Secretory,"(34, 102)",0.7633566999999999
20229,Human,Stromal,"(34, 102)",0.5361831
20230,Human,Endothelial,"(34, 103)",0.6653029
20233,Human,Germ,"(34, 103)",0.9985738999999999
20238,Human,Secretory,"(34, 103)",0.9130594000000001
20239,Human,Stromal,"(34, 103)",0.56889033
20240,Human,Endothelial,"(34, 104)",0.6932858000000001
20243,Human,Germ,"(34, 104)",0.8417582
20248,Human,Secretory,"(34, 104)",0.9725437
20250,Human,Endothelial,"(34, 105)",0.7017182
20253,Human,Germ,"(34, 105)",0.9124264000000001
20258,Human,Secretory,"(34, 105)",0.88913316
20259,Human,Stromal,"(34, 105)",0.56543565
20260,Human,Endothelial,"(34, 106)",0.7395379
20268,Human,Secretory,"(34, 106)",0.9913038000000001
20270,Human,Endothelial,"(34, 107)",0.59936625
20273,Human,Germ,"(34, 107)",1.2360646999999998
20276,Human,Neuron,"(34, 107)",0.5357905
20278,Human,Secretory,"(34, 107)",0.8913449000000001
20279,Human,Stromal,"(34, 107)",0.58777636
20280,Human,Endothelial,"(34, 108)",0.6717340999999999
20283,Human,Germ,"(34, 108)",1.0185428
20285,Human,Muscle,"(34, 108)",0.5047851999999999
20288,Human,Secretory,"(34, 108)",0.8353629000000001
20289,Human,Stromal,"(34, 108)",0.6286403
20290,Human,Endothelial,"(34, 109)",0.7085626
20293,Human,Germ,"(34, 109)",0.7539571999999999
20298,Human,Secretory,"(34, 109)",0.98635674
20300,Human,Endothelial,"(34, 110)",0.7062411999999999
20303,Human,Germ,"(34, 110)",0.86139095
20306,Human,Neuron,"(34, 110)",0.5689850000000001
20308,Human,Secretory,"(34, 110)",0.9483566999999999
20309,Human,Stromal,"(34, 110)",0.5505606
20310,Human,Endothelial,"(34, 111)",0.67656386
20313,Human,Germ,"(34, 111)",1.0054144
20315,Human,Muscle,"(34, 111)",0.5110392
20316,Human,Neuron,"(34, 111)",0.59989023
20318,Human,Secretory,"(34, 111)",0.9747415999999999
20319,Human,Stromal,"(34, 111)",0.5509929
20320,Human,Endothelial,"(34, 112)",0.75294524
20323,Human,Germ,"(34, 112)",0.7755588999999999
20328,Human,Secretory,"(34, 112)",0.84626967
20329,Human,Stromal,"(34, 112)",0.5375470999999999
20330,Human,Endothelial,"(34, 113)",0.77456665
20333,Human,Germ,"(34, 113)",0.65967196
20338,Human,Secretory,"(34, 113)",0.8411284
20339,Human,Stromal,"(34, 113)",0.52212113
20340,Human,Endothelial,"(34, 114)",0.6342637
20343,Human,Germ,"(34, 114)",1.0481044
20346,Human,Neuron,"(34, 114)",0.5987555999999999
20348,Human,Secretory,"(34, 114)",1.002016
20349,Human,Stromal,"(34, 114)",0.5151833
20350,Human,Endothelial,"(34, 115)",0.51505905
20358,Human,Secretory,"(34, 115)",0.9096283000000002
20363,Human,Germ,"(34, 116)",1.5319142
20368,Human,Secretory,"(34, 116)",1.0782981000000003
20370,Human,Endothelial,"(34, 117)",0.7066991
20373,Human,Germ,"(34, 117)",0.73799765
20378,Human,Secretory,"(34, 117)",0.8265174000000001
20379,Human,Stromal,"(34, 117)",0.5039180999999999
20380,Human,Endothelial,"(34, 118)",0.7449063
20383,Human,Germ,"(34, 118)",0.8548843
20385,Human,Muscle,"(34, 118)",0.5394469
20386,Human,Neuron,"(34, 118)",0.5888123000000001
20388,Human,Secretory,"(34, 118)",0.9726905999999998
20389,Human,Stromal,"(34, 118)",0.53649086
20390,Human,Endothelial,"(34, 119)",0.68980104
20393,Human,Germ,"(34, 119)",0.9785543
20398,Human,Secretory,"(34, 119)",0.8980955
20399,Human,Stromal,"(34, 119)",0.57246536
20400,Human,Endothelial,"(34, 121)",0.70951116
20403,Human,Germ,"(34, 121)",0.8289711999999999
20408,Human,Secretory,"(34, 121)",0.861663
20409,Human,Stromal,"(34, 121)",0.5438635
20410,Human,Endothelial,"(34, 122)",0.7043129
20413,Human,Germ,"(34, 122)",0.9023738000000001
20418,Human,Secretory,"(34, 122)",0.79340553
20419,Human,Stromal,"(34, 122)",0.60059834
20420,Human,Endothelial,"(34, 123)",0.7236397
20428,Human,Secretory,"(34, 123)",0.7480821
20430,Human,Endothelial,"(34, 124)",0.6787663
20433,Human,Germ,"(34, 124)",0.94358844
20438,Human,Secretory,"(34, 124)",0.8406478000000001
20439,Human,Stromal,"(34, 124)",0.50040865
20443,Human,Germ,"(34, 126)",1.5237366
20446,Human,Neuron,"(34, 126)",0.7144067
20448,Human,Secretory,"(34, 126)",1.0840068999999999
20450,Human,Endothelial,"(34, 127)",0.7181211999999999
20453,Human,Germ,"(34, 127)",0.92157423
20456,Human,Neuron,"(34, 127)",0.5140744
20458,Human,Secretory,"(34, 127)",0.9454908999999999
20459,Human,Stromal,"(34, 127)",0.53247505
20460,Human,Endothelial,"(35, 36)",0.5557113
20463,Human,Germ,"(35, 36)",1.2244357
20466,Human,Neuron,"(35, 36)",0.5778901
20468,Human,Secretory,"(35, 36)",0.9718599
20469,Human,Stromal,"(35, 36)",0.5123034000000001
20470,Human,Endothelial,"(35, 37)",0.64959246
20478,Human,Secretory,"(35, 37)",0.87164426
20483,Human,Germ,"(35, 38)",1.5329018
20488,Human,Secretory,"(35, 38)",0.64917433
20489,Human,Stromal,"(35, 38)",0.5052253999999999
20490,Human,Endothelial,"(35, 39)",0.70935124
20493,Human,Germ,"(35, 39)",0.90577215
20498,Human,Secretory,"(35, 39)",0.640517
20499,Human,Stromal,"(35, 39)",0.67628783
20503,Human,Germ,"(35, 40)",1.3640126000000001
20506,Human,Neuron,"(35, 40)",0.5241234
20508,Human,Secretory,"(35, 40)",0.5158154
20510,Human,Endothelial,"(35, 41)",0.5103512
20513,Human,Germ,"(35, 41)",1.1346588
20518,Human,Secretory,"(35, 41)",0.59288573
20519,Human,Stromal,"(35, 41)",0.66135275
20520,Human,Endothelial,"(35, 42)",0.6112863000000001
20528,Human,Secretory,"(35, 42)",0.6833659000000001
20529,Human,Stromal,"(35, 42)",0.6133430999999999
20530,Human,Endothelial,"(35, 43)",0.6418491
20533,Human,Germ,"(35, 43)",0.88797003
20538,Human,Secretory,"(35, 43)",0.7490494000000001
20540,Human,Endothelial,"(35, 44)",0.88318044
20543,Human,Germ,"(35, 44)",0.61134243
20548,Human,Secretory,"(35, 44)",0.87263364
20549,Human,Stromal,"(35, 44)",0.5533551999999999
20553,Human,Germ,"(35, 45)",0.72510386
20558,Human,Secretory,"(35, 45)",0.74593735
20564,Human,Immune,"(35, 46)",0.7764109
20570,Human,Endothelial,"(35, 47)",0.6394597
20573,Human,Germ,"(35, 47)",1.0742969999999998
20578,Human,Secretory,"(35, 47)",0.8516844000000001
20579,Human,Stromal,"(35, 47)",0.59198135
20580,Human,Endothelial,"(35, 48)",0.56827396
20583,Human,Germ,"(35, 48)",1.203143
20586,Human,Neuron,"(35, 48)",0.62858164
20588,Human,Secretory,"(35, 48)",1.006132
20589,Human,Stromal,"(35, 48)",0.51425743
20590,Human,Endothelial,"(35, 50)",0.595176
20593,Human,Germ,"(35, 50)",0.865361
20596,Human,Neuron,"(35, 50)",0.5349607
20598,Human,Secretory,"(35, 50)",0.91278994
20599,Human,Stromal,"(35, 50)",0.58212006
20600,Human,Endothelial,"(35, 51)",0.54318494
20603,Human,Germ,"(35, 51)",1.2332049999999999
20608,Human,Secretory,"(35, 51)",0.9278101999999999
20609,Human,Stromal,"(35, 51)",0.5380206999999999
20610,Human,Endothelial,"(35, 52)",0.55633676
20613,Human,Germ,"(35, 52)",1.1621896999999999
20615,Human,Muscle,"(35, 52)",0.5259161
20616,Human,Neuron,"(35, 52)",0.6744795
20618,Human,Secretory,"(35, 52)",0.8989256999999999
20619,Human,Stromal,"(35, 52)",0.60820884
20623,Human,Germ,"(35, 53)",0.9774705
20628,Human,Secretory,"(35, 53)",1.0650796999999999
20630,Human,Endothelial,"(35, 54)",0.501134
20633,Human,Germ,"(35, 54)",1.0790515
20638,Human,Secretory,"(35, 54)",0.8419593000000001
20639,Human,Stromal,"(35, 54)",0.58553225
20640,Human,Endothelial,"(35, 55)",0.6237156
20643,Human,Germ,"(35, 55)",0.7328627
20646,Human,Neuron,"(35, 55)",0.5144578
20648,Human,Secretory,"(35, 55)",0.94350624
20650,Human,Endothelial,"(35, 56)",0.57563645
20653,Human,Germ,"(35, 56)",0.82934797
20658,Human,Secretory,"(35, 56)",0.65398645
20660,Human,Endothelial,"(35, 57)",0.52302504
20663,Human,Germ,"(35, 57)",1.1164832
20668,Human,Secretory,"(35, 57)",0.697372
20675,Human,Muscle,"(35, 58)",0.55130476
20676,Human,Neuron,"(35, 58)",1.3231589
20677,Human,Proliferating,"(35, 58)",0.60510087
20678,Human,Secretory,"(35, 58)",0.79918617
20683,Human,Germ,"(35, 59)",1.4845333
20688,Human,Secretory,"(35, 59)",0.68239135
20689,Human,Stromal,"(35, 59)",0.5212188
20690,Human,Endothelial,"(35, 60)",0.609907
20698,Human,Secretory,"(35, 60)",0.7362129
20706,Human,Neuron,"(35, 61)",0.83507395
20708,Human,Secretory,"(35, 61)",0.6942679
20709,Human,Stromal,"(35, 61)",0.74403083
20713,Human,Germ,"(35, 62)",1.5773793
20718,Human,Secretory,"(35, 62)",0.7658303000000001
20720,Human,Endothelial,"(35, 63)",0.6686913000000001
20728,Human,Secretory,"(35, 63)",0.6286252
20730,Human,Endothelial,"(35, 64)",0.7095349
20733,Human,Germ,"(35, 64)",0.8771136999999999
20738,Human,Secretory,"(35, 64)",0.88928235
20739,Human,Stromal,"(35, 64)",0.53667015
20740,Human,Endothelial,"(35, 65)",0.6114458
20743,Human,Germ,"(35, 65)",1.1588131000000002
20748,Human,Secretory,"(35, 65)",0.7596163
20749,Human,Stromal,"(35, 65)",0.6230416999999999
20750,Human,Endothelial,"(35, 66)",0.7090512
20753,Human,Germ,"(35, 66)",0.9683868
20758,Human,Secretory,"(35, 66)",0.7648823
20759,Human,Stromal,"(35, 66)",0.6099190999999999
20760,Human,Endothelial,"(35, 67)",0.5276316
20766,Human,Neuron,"(35, 67)",0.50408804
20768,Human,Secretory,"(35, 67)",0.5398848
20769,Human,Stromal,"(35, 67)",0.7965276
20770,Human,Endothelial,"(35, 68)",0.5197107
20773,Human,Germ,"(35, 68)",1.3002127
20776,Human,Neuron,"(35, 68)",0.6282418000000001
20778,Human,Secretory,"(35, 68)",0.8882761999999998
20779,Human,Stromal,"(35, 68)",0.5770156999999999
20783,Human,Germ,"(35, 69)",1.3719146
20788,Human,Secretory,"(35, 69)",0.6790518
20789,Human,Stromal,"(35, 69)",0.6005469
20793,Human,Germ,"(35, 70)",1.2456848999999999
20796,Human,Neuron,"(35, 70)",1.1204653
20798,Human,Secretory,"(35, 70)",1.2115897
20800,Human,Endothelial,"(35, 71)",0.63062924
20808,Human,Secretory,"(35, 71)",0.61411554
20810,Human,Endothelial,"(35, 72)",0.7368397
20813,Human,Germ,"(35, 72)",0.8047637
