,Celltype,Motif,Influe
139,EarthWorm29,Motif_17,1.0
140,EarthWorm4,Motif_17,0.0
141,EarthWorm5,Motif_17,1.0
142,EarthWorm8,Motif_17,0.0
143,EarthWorm11,Motif_18,0.0
144,EarthWorm17,Motif_18,0.0
145,EarthWorm19,Motif_18,0.0
146,EarthWorm21,Motif_18,1.0
147,EarthWorm23,Motif_18,0.0
148,EarthWorm27,Motif_18,1.0
149,EarthWorm28,Motif_18,1.0
150,EarthWorm29,Motif_18,1.0
151,EarthWorm4,Motif_18,0.0
152,EarthWorm5,Motif_18,1.0
153,EarthWorm8,Motif_18,0.0
154,EarthWorm11,Motif_22,0.0
155,EarthWorm17,Motif_22,0.0
156,EarthWorm19,Motif_22,0.0
157,EarthWorm21,Motif_22,0.0
158,EarthWorm23,Motif_22,0.0
159,EarthWorm27,Motif_22,0.0
160,EarthWorm28,Motif_22,0.0
161,EarthWorm29,Motif_22,0.0
162,EarthWorm4,Motif_22,0.0
163,EarthWorm5,Motif_22,1.0
164,EarthWorm8,Motif_22,0.0
165,EarthWorm11,Motif_23,0.0
166,EarthWorm17,Motif_23,0.0
167,EarthWorm19,Motif_23,0.0
168,EarthWorm21,Motif_23,1.0
169,EarthWorm23,Motif_23,0.0
170,EarthWorm27,Motif_23,1.0
171,EarthWorm28,Motif_23,1.0
172,EarthWorm29,Motif_23,1.0
173,EarthWorm4,Motif_23,0.0
174,EarthWorm5,Motif_23,1.0
175,EarthWorm8,Motif_23,0.0
176,EarthWorm11,Motif_24,1.0
177,EarthWorm17,Motif_24,1.0
178,EarthWorm19,Motif_24,1.0
179,EarthWorm21,Motif_24,0.0
180,EarthWorm23,Motif_24,1.0
181,EarthWorm27,Motif_24,0.0
182,EarthWorm28,Motif_24,0.0
183,EarthWorm29,Motif_24,0.0
184,EarthWorm4,Motif_24,1.0
185,EarthWorm5,Motif_24,0.0
186,EarthWorm8,Motif_24,0.0
187,EarthWorm11,Motif_26,1.0
188,EarthWorm17,Motif_26,1.0
189,EarthWorm19,Motif_26,0.0
190,EarthWorm21,Motif_26,0.0
191,EarthWorm23,Motif_26,1.0
192,EarthWorm27,Motif_26,0.0
193,EarthWorm28,Motif_26,0.0
194,EarthWorm29,Motif_26,0.0
195,EarthWorm4,Motif_26,1.0
196,EarthWorm5,Motif_26,0.0
197,EarthWorm8,Motif_26,1.0
198,EarthWorm11,Motif_28,0.0
199,EarthWorm17,Motif_28,0.0
200,EarthWorm19,Motif_28,0.0
201,EarthWorm21,Motif_28,1.0
202,EarthWorm23,Motif_28,0.0
203,EarthWorm27,Motif_28,1.0
204,EarthWorm28,Motif_28,1.0
205,EarthWorm29,Motif_28,1.0
206,EarthWorm4,Motif_28,0.0
207,EarthWorm5,Motif_28,1.0
208,EarthWorm8,Motif_28,0.0
209,EarthWorm11,Motif_31,0.0
210,EarthWorm17,Motif_31,0.0
211,EarthWorm19,Motif_31,0.0
212,EarthWorm21,Motif_31,0.0
213,EarthWorm23,Motif_31,0.0
214,EarthWorm27,Motif_31,0.0
215,EarthWorm28,Motif_31,0.0
216,EarthWorm29,Motif_31,0.0
217,EarthWorm4,Motif_31,0.0
218,EarthWorm5,Motif_31,0.0
219,EarthWorm8,Motif_31,0.0
220,EarthWorm11,Motif_34,0.0
221,EarthWorm17,Motif_34,0.0
222,EarthWorm19,Motif_34,0.0
223,EarthWorm21,Motif_34,1.0
224,EarthWorm23,Motif_34,0.0
225,EarthWorm27,Motif_34,1.0
226,EarthWorm28,Motif_34,1.0
227,EarthWorm29,Motif_34,1.0
228,EarthWorm4,Motif_34,0.0
229,EarthWorm5,Motif_34,1.0
230,EarthWorm8,Motif_34,0.0
231,EarthWorm11,Motif_36,0.0
232,EarthWorm17,Motif_36,0.0
233,EarthWorm19,Motif_36,0.0
234,EarthWorm21,Motif_36,0.0
235,EarthWorm23,Motif_36,0.0
236,EarthWorm27,Motif_36,0.0
237,EarthWorm28,Motif_36,0.0
238,EarthWorm29,Motif_36,0.0
239,EarthWorm4,Motif_36,0.0
240,EarthWorm5,Motif_36,1.0
241,EarthWorm8,Motif_36,0.0
242,EarthWorm11,Motif_41,0.0
243,EarthWorm17,Motif_41,0.0
244,EarthWorm19,Motif_41,0.0
245,EarthWorm21,Motif_41,1.0
246,EarthWorm23,Motif_41,0.0
247,EarthWorm27,Motif_41,0.0
248,EarthWorm28,Motif_41,0.0
249,EarthWorm29,Motif_41,1.0
250,EarthWorm4,Motif_41,0.0
251,EarthWorm5,Motif_41,0.0
252,EarthWorm8,Motif_41,0.0
253,EarthWorm11,Motif_42,0.0
254,EarthWorm17,Motif_42,0.0
255,EarthWorm19,Motif_42,0.0
256,EarthWorm21,Motif_42,1.0
257,EarthWorm23,Motif_42,0.0
258,EarthWorm27,Motif_42,1.0
259,EarthWorm28,Motif_42,1.0
260,EarthWorm29,Motif_42,1.0
261,EarthWorm4,Motif_42,0.0
262,EarthWorm5,Motif_42,1.0
263,EarthWorm8,Motif_42,0.0
264,EarthWorm11,Motif_44,0.0
265,EarthWorm17,Motif_44,0.0
266,EarthWorm19,Motif_44,0.0
267,EarthWorm21,Motif_44,0.0
268,EarthWorm23,Motif_44,0.0
269,EarthWorm27,Motif_44,0.0
270,EarthWorm28,Motif_44,0.0
271,EarthWorm29,Motif_44,0.0
272,EarthWorm4,Motif_44,0.0
273,EarthWorm5,Motif_44,0.0
274,EarthWorm8,Motif_44,0.0
275,EarthWorm11,Motif_47,1.0
276,EarthWorm17,Motif_47,1.0
277,EarthWorm19,Motif_47,0.0
278,EarthWorm21,Motif_47,0.0
279,EarthWorm23,Motif_47,1.0
280,EarthWorm27,Motif_47,0.0
281,EarthWorm28,Motif_47,0.0
282,EarthWorm29,Motif_47,0.0
283,EarthWorm4,Motif_47,1.0
284,EarthWorm5,Motif_47,0.0
285,EarthWorm8,Motif_47,1.0
286,EarthWorm11,Motif_48,0.0
287,EarthWorm17,Motif_48,0.0
288,EarthWorm19,Motif_48,0.0
289,EarthWorm21,Motif_48,0.0
290,EarthWorm23,Motif_48,1.0
291,EarthWorm27,Motif_48,0.0
292,EarthWorm28,Motif_48,0.0
293,EarthWorm29,Motif_48,0.0
294,EarthWorm4,Motif_48,1.0
295,EarthWorm5,Motif_48,0.0
296,EarthWorm8,Motif_48,0.0
297,EarthWorm11,Motif_49,1.0
298,EarthWorm17,Motif_49,1.0
299,EarthWorm19,Motif_49,0.0
300,EarthWorm21,Motif_49,0.0
301,EarthWorm23,Motif_49,1.0
302,EarthWorm27,Motif_49,0.0
303,EarthWorm28,Motif_49,0.0
304,EarthWorm29,Motif_49,0.0
305,EarthWorm4,Motif_49,1.0
306,EarthWorm5,Motif_49,0.0
307,EarthWorm8,Motif_49,1.0
308,EarthWorm11,Motif_53,0.0
309,EarthWorm17,Motif_53,0.0
310,EarthWorm19,Motif_53,0.0
311,EarthWorm21,Motif_53,1.0
312,EarthWorm23,Motif_53,0.0
313,EarthWorm27,Motif_53,1.0
314,EarthWorm28,Motif_53,1.0
315,EarthWorm29,Motif_53,1.0
316,EarthWorm4,Motif_53,0.0
317,EarthWorm5,Motif_53,1.0
318,EarthWorm8,Motif_53,0.0
319,EarthWorm11,Motif_56,0.0
320,EarthWorm17,Motif_56,1.0
321,EarthWorm19,Motif_56,0.0
322,EarthWorm21,Motif_56,0.0
323,EarthWorm23,Motif_56,1.0
324,EarthWorm27,Motif_56,0.0
325,EarthWorm28,Motif_56,0.0
326,EarthWorm29,Motif_56,0.0
327,EarthWorm4,Motif_56,1.0
328,EarthWorm5,Motif_56,0.0
329,EarthWorm8,Motif_56,1.0
330,EarthWorm11,Motif_59,0.0
331,EarthWorm17,Motif_59,1.0
332,EarthWorm19,Motif_59,0.0
333,EarthWorm21,Motif_59,0.0
334,EarthWorm23,Motif_59,1.0
335,EarthWorm27,Motif_59,0.0
336,EarthWorm28,Motif_59,0.0
337,EarthWorm29,Motif_59,0.0
338,EarthWorm4,Motif_59,1.0
