,Cluster,Motif,Influe
160,Coelomocytes,Motif_23,0.5946672
161,Germ,Motif_23,0.14536078
162,Intestine,Motif_23,-0.14488861
163,Muscle,Motif_23,-0.11330077
164,Neuron,Motif_23,-0.1660417
165,Non-seam,Motif_23,0.9523821
166,Pharyn,Motif_23,0.7078642
167,Precursors,Motif_23,-0.13919605
168,Rectum,Motif_23,0.34125465
169,Seam,Motif_23,-0.031575657
170,Coelomocytes,Motif_24,0.34387833
171,Germ,Motif_24,0.29592487
172,Intestine,Motif_24,0.40110797
173,Muscle,Motif_24,0.0038980383
174,Neuron,Motif_24,0.6951205
175,Non-seam,Motif_24,-1.3675421
176,Pharyn,Motif_24,-0.47858426
177,Precursors,Motif_24,-0.32643494
178,Rectum,Motif_24,0.22661966
179,Seam,Motif_24,-0.46219748
180,Coelomocytes,Motif_26,-0.38896358
181,Germ,Motif_26,-0.4112603
182,Intestine,Motif_26,-0.41131163
183,Muscle,Motif_26,0.039877392
184,Neuron,Motif_26,-0.15223281
185,Non-seam,Motif_26,1.1178218
186,Pharyn,Motif_26,0.3210637
187,Precursors,Motif_26,-0.41091713
188,Rectum,Motif_26,-0.41070536
189,Seam,Motif_26,-0.13135627
190,Coelomocytes,Motif_30,0.05673872
191,Germ,Motif_30,0.2610086
192,Intestine,Motif_30,0.57586765
193,Muscle,Motif_30,0.392622
194,Neuron,Motif_30,0.41045734
195,Non-seam,Motif_30,-1.0289967
196,Pharyn,Motif_30,-1.2424107
197,Precursors,Motif_30,-1.3385942
198,Rectum,Motif_30,-1.3158001
199,Seam,Motif_30,-0.9647576
200,Coelomocytes,Motif_31,-0.076285124
201,Germ,Motif_31,-0.076285124
202,Intestine,Motif_31,-0.076285124
203,Muscle,Motif_31,-0.076285124
204,Neuron,Motif_31,0.02162017
205,Non-seam,Motif_31,-0.002417791
206,Pharyn,Motif_31,-0.07152376
207,Precursors,Motif_31,-0.076285124
208,Rectum,Motif_31,-0.076285124
209,Seam,Motif_31,-0.076285124
210,Coelomocytes,Motif_34,-0.3698642
211,Germ,Motif_34,0.08294802
212,Intestine,Motif_34,0.29710495
213,Muscle,Motif_34,0.08706803
214,Neuron,Motif_34,-0.63433933
215,Non-seam,Motif_34,-0.25722954
216,Pharyn,Motif_34,-0.46451405
217,Precursors,Motif_34,0.28157184
218,Rectum,Motif_34,-0.46160716
219,Seam,Motif_34,0.19708052
220,Coelomocytes,Motif_37,-0.052232232
221,Germ,Motif_37,0.038000178
222,Intestine,Motif_37,0.7453858
223,Muscle,Motif_37,0.35864693
224,Neuron,Motif_37,0.2692033
225,Non-seam,Motif_37,-1.170412
226,Pharyn,Motif_37,-1.0626382
227,Precursors,Motif_37,-1.032527
228,Rectum,Motif_37,-0.7054717
229,Seam,Motif_37,-0.48809633
230,Coelomocytes,Motif_39,-0.496894
231,Germ,Motif_39,-0.20456347
232,Intestine,Motif_39,0.32957307
233,Muscle,Motif_39,0.059486397
234,Neuron,Motif_39,0.18535453
235,Non-seam,Motif_39,-1.1848769
236,Pharyn,Motif_39,-0.4022029
237,Precursors,Motif_39,0.65431577
238,Rectum,Motif_39,0.2638668
239,Seam,Motif_39,0.30106825
240,Coelomocytes,Motif_40,-0.19800873
241,Germ,Motif_40,-0.19800873
242,Intestine,Motif_40,-0.19800873
243,Muscle,Motif_40,-0.016705556
244,Neuron,Motif_40,-0.19800873
245,Non-seam,Motif_40,0.21298903
246,Pharyn,Motif_40,0.013021278
247,Precursors,Motif_40,-0.19800873
248,Rectum,Motif_40,-0.19800873
249,Seam,Motif_40,-0.19019124
250,Coelomocytes,Motif_44,-0.38160828
251,Germ,Motif_44,-0.0044347066
252,Intestine,Motif_44,0.13314629
253,Muscle,Motif_44,0.004985723
254,Neuron,Motif_44,-0.97513914
255,Non-seam,Motif_44,0.747158
256,Pharyn,Motif_44,0.10114847
257,Precursors,Motif_44,0.42553893
258,Rectum,Motif_44,-0.25035542
259,Seam,Motif_44,0.5197674
260,Coelomocytes,Motif_45,-0.73425096
261,Germ,Motif_45,-0.8266005
262,Intestine,Motif_45,-0.93274206
263,Muscle,Motif_45,0.045161143
264,Neuron,Motif_45,0.8122048
265,Non-seam,Motif_45,0.25555986
266,Pharyn,Motif_45,0.5044841
267,Precursors,Motif_45,-0.012700998
268,Rectum,Motif_45,0.66121405
269,Seam,Motif_45,0.21375082
270,Coelomocytes,Motif_49,-0.44327372
271,Germ,Motif_49,-0.44730666
272,Intestine,Motif_49,-0.44730666
273,Muscle,Motif_49,0.08979725
274,Neuron,Motif_49,0.9527834
275,Non-seam,Motif_49,-0.44667295
276,Pharyn,Motif_49,-0.44730666
277,Precursors,Motif_49,-0.44730666
278,Rectum,Motif_49,-0.44730666
279,Seam,Motif_49,-0.44730666
280,Coelomocytes,Motif_52,-0.4551671
281,Germ,Motif_52,-0.45964602
282,Intestine,Motif_52,-0.45964602
283,Muscle,Motif_52,0.11216764
284,Neuron,Motif_52,0.98289746
285,Non-seam,Motif_52,-0.45812118
286,Pharyn,Motif_52,-0.44573838
287,Precursors,Motif_52,-0.45942533
288,Rectum,Motif_52,-0.43594232
289,Seam,Motif_52,-0.45661545
290,Coelomocytes,Motif_53,-0.29118082
291,Germ,Motif_53,-0.030833665
292,Intestine,Motif_53,0.16628817
293,Muscle,Motif_53,0.100613914
294,Neuron,Motif_53,0.5012699
295,Non-seam,Motif_53,-1.3861138
