,Celltype,Motif,Gene
0,Intestinal_rectal_muscle,Motif_66,dsc-1
291,Intestinal_rectal_muscle,Motif_66,php-3
347,Cholinergic_neurons,Motif_83,ast-1
348,Dopaminergic_neurons,Motif_83,ast-1
349,Coelomocytes,Motif_117,let-381
